view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0064747450000000005,0.0120612,"[[ 9.99999857e-01 -4.43146436e-04  2.98074570e-04]
 [ 4.43183563e-04  9.99999894e-01 -1.24501897e-04]
 [-2.98019366e-04  1.24633981e-04  9.99999948e-01]]","[[ 9.99999563e-01  4.83906611e-05  9.33106807e-04]
 [-4.84493493e-05  9.99999997e-01  6.28729312e-05]
 [-9.33103761e-04 -6.29181121e-05  9.99999563e-01]]",[ 0.00023423 -0.00048467  0.00023147],[-0.0001183  -0.01177696  0.00089403],0.9931517910453794
1 2,0.014485350000000001,0.0245794,"[[ 9.99999423e-01  9.02447978e-04  5.82199468e-04]
 [-9.02348008e-04  9.99999578e-01 -1.71950577e-04]
 [-5.82354399e-04  1.71425131e-04  9.99999816e-01]]","[[ 9.99997827e-01  2.05037936e-03  3.76403543e-04]
 [-2.05043710e-03  9.99997886e-01  1.53060810e-04]
 [-3.76088915e-04 -1.53832269e-04  9.99999917e-01]]",[0.00077972 0.00066022 0.00023767],[ 0.00181069 -0.01090452  0.00094887],0.9904536082007394
2 3,0.01219,0.0211352,"[[ 9.99997880e-01 -2.05848867e-03 -5.03197762e-05]
 [ 2.05849309e-03  9.99997877e-01  8.78837580e-05]
 [ 5.01387617e-05 -8.79871547e-05  9.99999995e-01]]","[[ 9.99998167e-01 -1.57453887e-03  1.08950556e-03]
 [ 1.57398071e-03  9.99998630e-01  5.12969502e-04]
 [-1.09031175e-03 -5.11253701e-04  9.99999275e-01]]",[ 9.76237528e-05 -1.54730048e-03  5.37044192e-04],[ 0.00018392 -0.01210438  0.00136308],0.9736819666626172
3 4,0.01634965,0.0284108,"[[ 9.99999947e-01 -2.93267776e-04 -1.43866536e-04]
 [ 2.93214052e-04  9.99999887e-01 -3.73309056e-04]
 [ 1.43975999e-04  3.73266852e-04  9.99999920e-01]]","[[ 9.99998323e-01  1.42953335e-04 -1.82591781e-03]
 [-1.46514868e-04  9.99998087e-01 -1.95055945e-03]
 [ 1.82563548e-03  1.95082371e-03  9.99996431e-01]]",[-0.00029046 -0.00058169  0.0001186 ],[-0.00070458 -0.01331915 -0.00061957],0.9824644302732595
4 5,0.01361145,0.0227412,"[[ 9.99997438e-01  2.09999018e-03  8.45204240e-04]
 [-2.09952417e-03  9.99997644e-01 -5.51866183e-04]
 [-8.46361162e-04  5.50090242e-04  9.99999491e-01]]","[[ 9.99995197e-01  2.86514347e-03  1.18225702e-03]
 [-2.86450169e-03  9.99995749e-01 -5.44176319e-04]
 [-1.18381114e-03  5.40787127e-04  9.99999153e-01]]",[0.00103912 0.00130255 0.00026633],[ 0.00156378 -0.01066839  0.00094287],1.0266196233741138
5 6,0.01227555,0.0198847,"[[ 9.99999919e-01 -2.51409515e-04  3.14645691e-04]
 [ 2.51274470e-04  9.99999876e-01  4.29162478e-04]
 [-3.14753548e-04 -4.29083381e-04  9.99999858e-01]]","[[ 9.99999876e-01  3.53205779e-04 -3.49715889e-04]
 [-3.53323670e-04  9.99999881e-01 -3.37101097e-04]
 [ 3.49596781e-04  3.37224619e-04  9.99999882e-01]]",[0.00031774 0.00029182 0.00022356],[-0.00073312 -0.0117926   0.00020587],0.9900597170884179
6 7,0.01128305,0.0171232,"[[ 9.99999954e-01  1.05193032e-04  2.84017730e-04]
 [-1.05101912e-04  9.99999943e-01 -3.20821952e-04]
 [-2.84051462e-04  3.20792087e-04  9.99999908e-01]]","[[ 9.99998545e-01  1.41797920e-03  9.47883860e-04]
 [-1.41899810e-03  9.99998415e-01  1.07510871e-03]
 [-9.46357876e-04 -1.07645219e-03  9.99998973e-01]]",[ 0.0001523  -0.00023706  0.00035307],[ 0.00129669 -0.01071204  0.00180477],0.9910103877980856
7 8,0.006961765,0.0124953,"[[ 9.99999651e-01 -4.46713436e-04  7.05593291e-04]
 [ 4.46896928e-04  9.99999866e-01 -2.59917290e-04]
 [-7.05477089e-04  2.60232527e-04  9.99999717e-01]]","[[ 9.99999271e-01  6.96302921e-04  9.86003022e-04]
 [-6.96686871e-04  9.99999682e-01  3.89110088e-04]
 [-9.85731769e-04 -3.89796740e-04  9.99999438e-01]]",[ 0.00044662 -0.00061277  0.00067711],[ 0.00065905 -0.01115593  0.00153774],0.9725174460776426
8 9,0.0125088,0.0196998,"[[ 9.99999641e-01 -8.21890767e-04  2.05927046e-04]
 [ 8.21925646e-04  9.99999648e-01 -1.69352199e-04]
 [-2.05787785e-04  1.69521395e-04  9.99999964e-01]]","[[ 9.99999196e-01  1.12670437e-04  1.26338525e-03]
 [-1.13615241e-04  9.99999714e-01  7.47788479e-04]
 [-1.26330063e-03 -7.47931417e-04  9.99998922e-01]]",[ 4.33536860e-05 -8.82272846e-04  3.66187159e-04],[ 0.00081642 -0.01157137  0.00169332],0.982508793982614
