view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.012025899999999999,0.019031,"[[ 9.99998642e-01 -1.35723480e-03  9.34593204e-04]
 [ 1.35761415e-03  9.99998996e-01 -4.05387317e-04]
 [-9.34042061e-04  4.06655584e-04  9.99999481e-01]]","[[ 9.99998845e-01 -9.03766663e-05  1.51716587e-03]
 [ 8.73922768e-05  9.99998062e-01  1.96703297e-03]
 [-1.51734070e-03 -1.96689811e-03  9.99996914e-01]]",[-3.25483927e-05 -1.42139733e-03  1.60054754e-03],[ 0.00047717 -0.0101575   0.0031481 ],0.9393955705223491
1 2,0.009134755000000001,0.0159996,"[[ 9.99996346e-01  2.60041870e-03  7.38680196e-04]
 [-2.59994877e-03  9.99996418e-01 -6.36433897e-04]
 [-7.40332544e-04  6.34511041e-04  9.99999525e-01]]","[[ 0.99999098  0.00409104  0.00113794]
 [-0.00409278  0.99999045  0.00153479]
 [-0.00113165 -0.00153943  0.99999817]]",[ 0.00131351  0.00180105 -0.00017053],[ 0.00129126 -0.00816456  0.00089539],1.0200493259558066
2 3,0.01255405,0.0194095,"[[ 9.99998738e-01 -9.95147554e-04  1.23875088e-03]
 [ 9.96144676e-04  9.99999180e-01 -8.04585258e-04]
 [-1.23794918e-03  8.05818218e-04  9.99998909e-01]]","[[ 9.99998673e-01  5.71554761e-04  1.52556312e-03]
 [-5.74060604e-04  9.99998486e-01  1.64263754e-03]
 [-1.52462196e-03 -1.64351113e-03  9.99997487e-01]]",[ 1.12482185e-05 -1.68064581e-03  2.26187824e-03],[ 0.00039203 -0.01034245  0.00356792],0.9125823043146127
3 4,0.00893936,0.0157822,"[[ 9.99992365e-01 -3.87336430e-03  5.16949311e-04]
 [ 3.87368266e-03  9.99992307e-01 -6.16265069e-04]
 [-5.14558315e-04  6.18262861e-04  9.99999676e-01]]","[[ 9.99997053e-01 -2.42126073e-03  1.77440457e-04]
 [ 2.42094892e-03  9.99995561e-01  1.73687904e-03]
 [-1.81645106e-04 -1.73644435e-03  9.99998476e-01]]",[-0.00050517 -0.00351081  0.00133723],[-0.00111677 -0.01191614  0.00184671],0.903765387038093
4 5,0.010644299999999999,0.0204519,"[[ 9.99991883e-01  4.02481448e-03  1.87639221e-04]
 [-4.02475429e-03  9.99991849e-01 -3.20077711e-04]
 [-1.88925945e-04  3.19319911e-04  9.99999931e-01]]","[[ 9.99985765e-01  5.32834845e-03 -2.80635456e-04]
 [-5.32809487e-03  9.99985404e-01  8.96718571e-04]
 [ 2.85409389e-04 -8.95210554e-04  9.99999559e-01]]",[ 0.0020374   0.00341228 -0.00198324],[ 0.00209599 -0.00787952 -0.00125087],1.0790583171977182
5 6,0.00962469,0.0183402,"[[ 9.99997548e-01  2.13058531e-03  6.04006633e-04]
 [-2.13024318e-03  9.99997571e-01 -5.66503905e-04]
 [-6.05212150e-04  5.65215835e-04  9.99999657e-01]]","[[ 9.99993121e-01  3.66786218e-03  5.51902961e-04]
 [-3.66844788e-03  9.99992705e-01  1.06398707e-03]
 [-5.47996377e-04 -1.06600438e-03  9.99999282e-01]]",[ 1.03006011e-03  1.37030567e-03 -9.40535256e-05],[ 0.00108028 -0.00889049  0.00088153],1.008263162015664
6 7,0.01215405,0.0205658,"[[ 9.99999701e-01  2.66334967e-04  7.25736306e-04]
 [-2.65975661e-04  9.99999842e-01 -4.95142350e-04]
 [-7.25868065e-04  4.94949174e-04  9.99999614e-01]]","[[ 9.99998848e-01  1.45761542e-03  4.24061995e-04]
 [-1.45812624e-03  9.99998209e-01  1.20679870e-03]
 [-4.22302187e-04 -1.20741564e-03  9.99999182e-01]]",[ 0.00049677 -0.00034677  0.00053048],[-0.00032173 -0.00995619  0.00125192],0.9631865779797264
7 8,0.01051735,0.0178773,"[[ 9.99998583e-01 -1.65882269e-03  2.85238621e-04]
 [ 1.65884838e-03  9.99998620e-01 -8.98450183e-05]
 [-2.85089191e-04  9.03180587e-05  9.99999955e-01]]","[[ 9.99999703e-01 -7.70892550e-04  2.02921315e-05]
 [ 7.70859139e-04  9.99998426e-01  1.59801945e-03]
 [-2.15240008e-05 -1.59800333e-03  9.99998723e-01]]",[-0.0005805  -0.00126345  0.00090382],[-0.00073646 -0.00669333  0.00135123],0.9352002463050197
8 9,0.0115564,0.0240518,"[[ 9.99998642e-01 -1.63730299e-03  1.88719248e-04]
 [ 1.63733049e-03  9.99998649e-01 -1.45675453e-04]
 [-1.88480478e-04  1.45984251e-04  9.99999972e-01]]","[[ 9.99999257e-01 -4.34537496e-04  1.13862369e-03]
 [ 4.32310800e-04  9.99997995e-01  1.95511956e-03]
 [-1.13947098e-03 -1.95462587e-03  9.99997441e-01]]",[-0.00037432 -0.00163379  0.00090049],[-0.00046401 -0.01065999  0.0023057 ],0.9345663821295564
