view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0143856,0.0212772,"[[ 9.99999974e-01 -4.42841829e-05  2.24298425e-04]
 [ 4.42853453e-05  9.99999999e-01 -5.17735629e-06]
 [-2.24298195e-04  5.18728928e-06  9.99999975e-01]]","[[ 9.99999971e-01  9.49200065e-05 -2.23063083e-04]
 [-9.49938030e-05  9.99999941e-01 -3.30845109e-04]
 [ 2.23031666e-04  3.30866289e-04  9.99999920e-01]]",[ 1.79097532e-04 -2.53517664e-05  1.52743347e-04],[-1.99982777e-03 -1.08021195e-02  3.42855637e-05],0.9913673487200423
1 2,0.01066745,0.0183601,"[[ 9.99999933e-01 -3.56188094e-04  8.22038303e-05]
 [ 3.56203718e-04  9.99999918e-01 -1.90135614e-04]
 [-8.21360996e-05  1.90164882e-04  9.99999979e-01]]","[[ 9.99999959e-01 -2.24060177e-04 -1.78073625e-04]
 [ 2.23800204e-04  9.99998911e-01 -1.45860225e-03]
 [ 1.78400246e-04  1.45856233e-03  9.99998920e-01]]",[-1.18335403e-05 -4.60311322e-04  1.49462580e-04],[-0.00106311 -0.01212337  0.00025315],0.9696459672199182
2 3,0.01237625,0.0205116,"[[ 9.99997559e-01 -2.16933095e-03 -4.18877908e-04]
 [ 2.16921704e-03  9.99997610e-01 -2.72188600e-04]
 [ 4.19467374e-04  2.71279299e-04  9.99999875e-01]]","[[ 9.99999378e-01 -1.04685380e-03 -3.83991290e-04]
 [ 1.04716340e-03  9.99999126e-01  8.06965039e-04]
 [ 3.83146180e-04 -8.07366639e-04  9.99999601e-01]]",[-0.00094499 -0.00231239  0.00054649],[-0.0018206  -0.01173513  0.00121552],0.9435046169821556
3 4,0.010128950000000001,0.0172053,"[[ 9.99998336e-01  1.76037331e-03  4.79073330e-04]
 [-1.76024148e-03  9.99998413e-01 -2.75451590e-04]
 [-4.79557468e-04  2.74607847e-04  9.99999847e-01]]","[[ 9.99997177e-01  2.37598186e-03 -2.45927289e-05]
 [-2.37599477e-03  9.99997032e-01 -5.39006877e-04]
 [ 2.33119854e-05  5.39063787e-04  9.99999854e-01]]",[ 7.41136272e-04  1.38978165e-03 -5.35919556e-05],[-6.45876676e-04 -1.01204698e-02  1.50643578e-05],1.0227133332707945
4 5,0.01390015,0.0233923,"[[ 9.99999815e-01 -4.82357259e-04  3.69842240e-04]
 [ 4.82789772e-04  9.99999199e-01 -1.17025515e-03]
 [-3.69277462e-04  1.17043349e-03  9.99999247e-01]]","[[ 9.99999960e-01 -2.77660671e-04  5.87361291e-05]
 [ 2.77827635e-04  9.99995866e-01 -2.86196534e-03]
 [-5.79412310e-05  2.86198154e-03  9.99995903e-01]]",[ 0.00017824 -0.00155141  0.00025493],[-0.00080661 -0.01369545  0.00042643],0.9751917736015426
5 6,0.01045725,0.0185563,"[[ 9.99999961e-01  2.78325828e-04  2.34004774e-06]
 [-2.78323569e-04  9.99999542e-01 -9.15668115e-04]
 [-2.59490076e-06  9.15667428e-04  9.99999581e-01]]","[[ 9.99999609e-01  6.07524686e-04 -6.43010855e-04]
 [-6.08700551e-04  9.99998140e-01 -1.83007357e-03]
 [ 6.41897844e-04  1.83046426e-03  9.99998119e-01]]",[-1.85388866e-04 -7.33796466e-04  4.02852630e-05],[-2.00891420e-03 -1.20965039e-02 -6.71150196e-05],0.9791459472393735
6 7,0.011822200000000001,0.0206699,"[[ 9.99999973e-01  2.21769350e-04 -6.26083672e-05]
 [-2.21788061e-04  9.99999931e-01 -2.99012155e-04]
 [ 6.25420511e-05  2.99026033e-04  9.99999953e-01]]","[[ 9.99999902e-01  2.80765720e-04 -3.42447284e-04]
 [-2.81481494e-04  9.99997772e-01 -2.09192011e-03]
 [ 3.41859181e-04  2.09201630e-03  9.99997753e-01]]",[-1.35386250e-04 -1.09607710e-04  5.68925912e-05],[-0.00090041 -0.01260414  0.00018918],0.9939374131456352
7 8,0.0197051,0.0288853,"[[ 9.99937291e-01 -1.11958201e-02  2.58879323e-04]
 [ 1.11940460e-02  9.99918977e-01  6.06076977e-03]
 [-3.26713636e-04 -6.05749180e-03  9.99981600e-01]]","[[ 0.99991616 -0.01269291  0.00255995]
 [ 0.01264863  0.99978171  0.01662935]
 [-0.00277046 -0.01659558  0.99985845]]",[-0.02763274 -0.03677566  0.14484363],[-0.02585415 -0.03732674  0.15440106],0.879766706547674
8 9,0.01422565,0.0238713,"[[ 9.99999045e-01 -1.09932660e-03 -8.37105085e-04]
 [ 1.09959455e-03  9.99999344e-01  3.19707714e-04]
 [ 8.36753073e-04 -3.20627885e-04  9.99999599e-01]]","[[ 9.99998708e-01 -7.23347212e-04 -1.43579418e-03]
 [ 7.21126995e-04  9.99998545e-01 -1.54624962e-03]
 [ 1.43691057e-03  1.54521223e-03  9.99997774e-01]]",[-0.0008771  -0.00055368 -0.00036662],[-0.00197354 -0.01333089 -0.00055517],0.9954798894011931
