view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.011179950000000001,0.0206221,"[[ 9.99999923e-01 -3.25610790e-04  2.19542342e-04]
 [ 3.25645536e-04  9.99999934e-01 -1.58246644e-04]
 [-2.19490801e-04  1.58318125e-04  9.99999963e-01]]","[[ 9.99998885e-01  3.76664148e-04 -1.44498007e-03]
 [-3.78104807e-04  9.99999432e-01 -9.96866356e-04]
 [ 1.44460376e-03  9.97411598e-04  9.99998459e-01]]",[ 8.73807084e-05 -3.79375559e-04  2.92174863e-04],[-0.00014581 -0.01184779  0.00035454],0.9808062858103075
1 2,0.011744600000000001,0.0187218,"[[ 9.99997869e-01  1.99883818e-03  5.15962322e-04]
 [-1.99890076e-03  9.99997995e-01  1.20808996e-04]
 [-5.15719810e-04 -1.21840096e-04  9.99999860e-01]]","[[ 9.99996587e-01  2.61231246e-03 -4.31066486e-05]
 [-2.61232375e-03  9.99996553e-01 -2.64003348e-04]
 [ 4.24168407e-05  2.64115055e-04  9.99999964e-01]]",[ 0.00086524  0.00163844 -0.00027362],[ 0.00153063 -0.00957667  0.00026471],1.0262953546715305
2 3,0.00679359,0.0113498,"[[ 9.99998577e-01  1.46261795e-03  8.40094435e-04]
 [-1.46219756e-03  9.99998806e-01 -5.00795943e-04]
 [-8.40825905e-04  4.99566847e-04  9.99999522e-01]]","[[ 9.99998461e-01  1.73248328e-03  2.76849812e-04]
 [-1.73214516e-03  9.99997759e-01 -1.21694013e-03]
 [-2.78957520e-04  1.21645871e-03  9.99999221e-01]]",[0.00073073 0.0005333  0.00043952],[ 0.00106151 -0.00722137  0.00065031],1.0055192356243803
3 4,0.0109129,0.0176518,"[[ 9.99999565e-01  8.85415870e-04  2.95007320e-04]
 [-8.85490708e-04  9.99999576e-01  2.53648194e-04]
 [-2.94782611e-04 -2.53909310e-04  9.99999924e-01]]","[[ 9.99998676e-01  1.60156518e-03  2.88898776e-04]
 [-1.60137548e-03  9.99998503e-01 -6.55698499e-04]
 [-2.89948487e-04  6.55234995e-04  9.99999743e-01]]",[ 5.16938572e-04  9.15987349e-04 -4.92810115e-05],[ 0.00283016 -0.0109606   0.00134413],1.0207980822253655
4 5,0.01072975,0.0189047,"[[ 9.99997210e-01  2.35434937e-03  1.91635638e-04]
 [-2.35444480e-03  9.99997104e-01  4.99298392e-04]
 [-1.90459560e-04 -4.99748194e-04  9.99999857e-01]]","[[ 0.99999452  0.00297872 -0.00144196]
 [-0.00298046  0.99999484 -0.00120069]
 [ 0.00143837  0.00120498  0.99999824]]",[ 0.00075967  0.00226961 -0.00094794],[ 0.00065111 -0.01068663 -0.00076027],1.0577863645043761
5 6,0.013640550000000001,0.0183549,"[[ 9.99985333e-01 -5.38000720e-03 -6.23959913e-04]
 [ 5.38013151e-03  9.99985507e-01  1.97719620e-04]
 [ 6.22887137e-04 -2.01073706e-04  9.99999786e-01]]","[[ 0.99998438 -0.00509762  0.00229417]
 [ 0.00509078  0.99998262  0.00297381]
 [-0.00230929 -0.00296209  0.99999295]]",[-0.00047827 -0.00384535  0.00113894],[ 0.00228425 -0.0114355   0.00430701],0.9311779572854315
6 7,0.01135655,0.0185271,"[[ 9.99999659e-01  7.78954625e-04  2.73236671e-04]
 [-7.79018619e-04  9.99999669e-01  2.34177736e-04]
 [-2.73054167e-04 -2.34390513e-04  9.99999935e-01]]","[[ 9.99999213e-01  1.23947224e-03  1.91810014e-04]
 [-1.23920454e-03  9.99998267e-01 -1.38948975e-03]
 [-1.93531915e-04  1.38925096e-03  9.99999016e-01]]",[ 5.11139572e-04  7.81911432e-04 -5.24117449e-05],[ 0.00243982 -0.01187206  0.00125159],1.0335639511859127
7 8,0.0108592,0.0195103,"[[ 9.99996330e-01  2.47672210e-03  1.09842091e-03]
 [-2.47677786e-03  9.99996932e-01  4.94056080e-05]
 [-1.09829517e-03 -5.21259712e-05  9.99999396e-01]]","[[ 9.99995681e-01  2.89023691e-03  5.32563899e-04]
 [-2.88983863e-03  9.99995545e-01 -7.47112621e-04]
 [-5.34720859e-04  7.45570371e-04  9.99999579e-01]]",[9.79450260e-04 1.91508893e-03 3.09236966e-05],[ 0.00085068 -0.00968802  0.00043062],1.0373574506176577
8 9,0.0104151,0.0158086,"[[ 9.99999963e-01  2.54738148e-04  9.17743503e-05]
 [-2.54764035e-04  9.99999928e-01  2.82177529e-04]
 [-9.17024623e-05 -2.82200900e-04  9.99999956e-01]]","[[ 9.99999453e-01  8.17530608e-04  6.51851737e-04]
 [-8.17644107e-04  9.99999651e-01  1.73869009e-04]
 [-6.51709366e-04 -1.74401896e-04  9.99999772e-01]]",[ 0.00016767  0.00049789 -0.00011503],[ 0.00189431 -0.01024335  0.00132033],1.0044538363030973
