view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00939057,0.0156865,"[[ 9.99999078e-01 -1.35722850e-03 -4.93252828e-05]
 [ 1.35723290e-03  9.99999075e-01  8.93368194e-05]
 [ 4.92039867e-05 -8.94036829e-05  9.99999995e-01]]","[[ 9.99999866e-01 -1.39289408e-05  5.18307154e-04]
 [ 1.34121454e-05  9.99999503e-01  9.97073411e-04]
 [-5.18320785e-04 -9.97066325e-04  9.99999369e-01]]",[-0.00033766 -0.00104933  0.00056748],[-0.00017911 -0.01068304  0.00220078],0.9653038622464645
1 2,0.0113886,0.0214682,"[[ 9.99999930e-01  3.73759752e-05 -3.73050548e-04]
 [-3.72336041e-05  9.99999926e-01  3.81639821e-04]
 [ 3.73064785e-04 -3.81625905e-04  9.99999858e-01]]","[[ 9.99999482e-01  9.23640241e-04 -4.28818201e-04]
 [-9.23649478e-04  9.99999573e-01 -2.13422888e-05]
 [ 4.28798305e-04  2.17383554e-05  9.99999908e-01]]",[-0.00011716  0.00046379 -0.00056363],[-2.81909211e-05 -1.09106225e-02  3.17199174e-04],1.025135886344014
2 3,0.01161005,0.0169415,"[[ 0.99998921 -0.00431773 -0.00171651]
 [ 0.00431549  0.99998984 -0.00130606]
 [ 0.00172213  0.00129864  0.99999767]]","[[ 0.99998943 -0.00278108 -0.00366158]
 [ 0.0027772   0.99999558 -0.00106491]
 [ 0.00366452  0.00105473  0.99999273]]",[-1.83997086e-03 -4.13385595e-03  7.65460865e-05],[-0.00346486 -0.01308642 -0.00064268],0.877427054363874
3 4,0.014842000000000001,0.0234834,"[[ 9.99999421e-01 -9.59330973e-04 -4.87061050e-04]
 [ 9.59415878e-04  9.99999525e-01  1.74118483e-04]
 [ 4.86893781e-04 -1.74585676e-04  9.99999866e-01]]","[[ 9.99999770e-01 -7.21793321e-06 -6.78632190e-04]
 [ 7.34030879e-06  9.99999984e-01  1.80324488e-04]
 [ 6.78630877e-04 -1.80329428e-04  9.99999753e-01]]",[-0.00052326 -0.00054323 -0.00026381],[ 0.00016471 -0.01109711  0.00073386],0.9966559058334171
4 5,0.0137931,0.0217267,"[[ 9.99995852e-01 -2.88031560e-03  5.93812700e-06]
 [ 2.88031755e-03  9.99995787e-01 -3.60009046e-04]
 [-4.90116232e-06  3.60024656e-04  9.99999935e-01]]","[[ 9.99998841e-01 -1.51748961e-03  1.25207764e-04]
 [ 1.51740040e-03  9.99998597e-01  7.09491758e-04]
 [-1.26284235e-04 -7.09300945e-04  9.99999740e-01]]",[-0.00030846 -0.00268171  0.00104873],[ 0.00018344 -0.01168438  0.00258009],0.9390373610137286
5 6,0.0100505,0.0170533,"[[ 9.99999883e-01 -4.79135690e-04 -7.32192244e-05]
 [ 4.79134946e-04  9.99999885e-01 -1.01842966e-05]
 [ 7.32240957e-05  1.01492135e-05  9.99999997e-01]]","[[ 9.99999677e-01  7.87872905e-04 -1.60722545e-04]
 [-7.87890548e-04  9.99999684e-01 -1.09736270e-04]
 [ 1.60636036e-04  1.09862866e-04  9.99999981e-01]]",[-1.25680153e-04 -4.00010743e-04  3.42419529e-05],[ 0.00065703 -0.01125149  0.00126601],0.9860477334965135
6 7,0.008934385,0.0169037,"[[ 9.99995745e-01 -2.88386231e-03 -4.39622744e-04]
 [ 2.88389629e-03  9.99995839e-01  7.66849194e-05]
 [ 4.39399765e-04 -7.79524196e-05  9.99999900e-01]]","[[ 9.99999019e-01 -1.09325189e-03 -8.75769216e-04]
 [ 1.09340973e-03  9.99999386e-01  1.79774123e-04]
 [ 8.75572140e-04 -1.80731522e-04  9.99999600e-01]]",[-0.00085975 -0.00227443  0.00085436],[-0.00092135 -0.01259808  0.00173131],0.9267208714728181
7 8,0.013008249999999999,0.021697,"[[ 9.99995453e-01 -3.00634888e-03 -2.36394553e-04]
 [ 3.00615847e-03  9.99995160e-01 -8.01755272e-04]
 [ 2.38803765e-04  8.01040987e-04  9.99999651e-01]]","[[ 9.99996388e-01 -2.52293011e-03 -9.26397626e-04]
 [ 2.52197445e-03  9.99996288e-01 -1.03130984e-03]
 [ 9.28996110e-04  1.02896976e-03  9.99999039e-01]]",[-0.00054708 -0.00295473  0.00029562],[-0.00168247 -0.01289875  0.00033192],0.9465261366484421
8 9,0.00873551,0.0146678,"[[ 9.99999694e-01  7.79955193e-04  6.48664007e-05]
 [-7.79956741e-04  9.99999696e-01  2.38336647e-05]
 [-6.48477917e-05 -2.38842504e-05  9.99999998e-01]]","[[ 9.99997585e-01  2.10605208e-03 -6.28228439e-04]
 [-2.10589505e-03  9.99997751e-01  2.50523501e-04]
 [ 6.28754641e-04 -2.49199913e-04  9.99999771e-01]]",[ 0.00022969  0.00069684 -0.00023038],[ 0.0004468  -0.01007096  0.00031959],1.000834893045389
