view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00640982,0.0120237,"[[ 9.99999844e-01 -4.65090975e-04  3.10238055e-04]
 [ 4.65136368e-04  9.99999881e-01 -1.46259941e-04]
 [-3.10169994e-04  1.46404221e-04  9.99999941e-01]]","[[ 9.99999520e-01  2.39126276e-05  9.79633731e-04]
 [-2.39737125e-05  9.99999998e-01  6.23431157e-05]
 [-9.79632238e-04 -6.23665712e-05  9.99999518e-01]]",[ 0.00025971 -0.00048771  0.0002107 ],[ 2.17143925e-05 -1.10852462e-02  8.41089037e-04],0.9931054953442234
1 2,0.014497900000000001,0.0245809,"[[ 9.99999416e-01  8.77994175e-04  6.30532235e-04]
 [-8.77910694e-04  9.99999606e-01 -1.32660977e-04]
 [-6.30648462e-04  1.32107349e-04  9.99999792e-01]]","[[ 9.99997880e-01  2.01628280e-03  4.18138456e-04]
 [-2.01637244e-03  9.99997944e-01  2.14070368e-04]
 [-4.17705970e-04 -2.14913037e-04  9.99999890e-01]]",[0.00083526 0.00059663 0.00025004],[ 0.00182103 -0.01025959  0.00096811],0.990100763665748
2 3,0.0122774,0.0211011,"[[ 9.99997794e-01 -2.09854871e-03 -8.92872096e-05]
 [ 2.09854956e-03  9.99997798e-01  9.36295598e-06]
 [ 8.92673644e-05 -9.55030896e-06  9.99999996e-01]]","[[ 9.99998077e-01 -1.61754783e-03  1.10843014e-03]
 [ 1.61701696e-03  9.99998578e-01  4.79668691e-04]
 [-1.10920445e-03 -4.77875418e-04  9.99999271e-01]]",[ 9.59194546e-05 -1.47814045e-03  5.02593830e-04],[ 0.00032458 -0.01135434  0.00127111],0.9750407818023428
3 4,0.01650395,0.0284149,"[[ 9.99999944e-01 -2.76539159e-04 -1.87847311e-04]
 [ 2.76459945e-04  9.99999873e-01 -4.21589876e-04]
 [ 1.87963873e-04  4.21537920e-04  9.99999893e-01]]","[[ 9.99998075e-01  1.99011366e-04 -1.95181903e-03]
 [-2.03056500e-04  9.99997832e-01 -2.07251504e-03]
 [ 1.95140234e-03  2.07290739e-03  9.99995948e-01]]",[-3.01182822e-04 -5.95444461e-04  9.55481037e-05],[-0.00087896 -0.01277677 -0.00053627],0.9835858757521678
4 5,0.013666600000000001,0.0227838,"[[ 9.99997511e-01  2.01370360e-03  9.60694070e-04]
 [-2.01326888e-03  9.99997871e-01 -4.53256552e-04]
 [-9.61604749e-04  4.51321288e-04  9.99999436e-01]]","[[ 9.99995330e-01  2.77066103e-03  1.29011089e-03]
 [-2.77004869e-03  9.99996050e-01 -4.76186807e-04]
 [-1.29142515e-03  4.72610913e-04  9.99999054e-01]]",[0.0011292  0.0011572  0.00037891],[ 0.0016641  -0.01014041  0.00101766],1.0259034427956213
5 6,0.01230685,0.0198632,"[[ 9.99999906e-01 -2.84805862e-04  3.25543815e-04]
 [ 2.84658294e-04  9.99999857e-01  4.53253605e-04]
 [-3.25672857e-04 -4.53160894e-04  9.99999844e-01]]","[[ 9.99999871e-01  3.41044971e-04 -3.77454399e-04]
 [-3.41180042e-04  9.99999878e-01 -3.57839135e-04]
 [ 3.77332314e-04  3.57967868e-04  9.99999865e-01]]",[0.00034313 0.00031774 0.00019597],[-0.00071341 -0.01116242  0.00021962],0.9899150029433811
6 7,0.01139695,0.0171989,"[[ 9.99999931e-01  2.00442938e-04  3.12517512e-04]
 [-2.00339557e-04  9.99999925e-01 -3.30796245e-04]
 [-3.12583795e-04  3.30733613e-04  9.99999896e-01]]","[[ 9.99998464e-01  1.45435353e-03  9.77860878e-04]
 [-1.45541772e-03  9.99998349e-01  1.08845596e-03]
 [-9.76276263e-04 -1.08987748e-03  9.99998930e-01]]",[ 0.00021986 -0.00017669  0.00034347],[ 0.00140058 -0.00995186  0.00170429],0.9926259497277434
7 8,0.0069952,0.0125345,"[[ 9.99999609e-01 -4.85803555e-04  7.39510295e-04]
 [ 4.86011284e-04  9.99999842e-01 -2.80746151e-04]
 [-7.39373791e-04  2.81105452e-04  9.99999687e-01]]","[[ 9.99999279e-01  6.35527892e-04  1.01907512e-03]
 [-6.35932123e-04  9.99999719e-01  3.96389716e-04]
 [-1.01882291e-03 -3.97037493e-04  9.99999402e-01]]",[ 0.00052242 -0.00061394  0.00065073],[ 0.00077631 -0.01048754  0.00147883],0.9726570691958188
8 9,0.012614750000000001,0.0194174,"[[ 9.99999208e-01 -1.24841544e-03  1.62610524e-04]
 [ 1.24845871e-03  9.99999185e-01 -2.66259248e-04]
 [-1.62277990e-04  2.66462049e-04  9.99999951e-01]]","[[ 9.99998949e-01 -2.76674349e-04  1.42303891e-03]
 [ 2.75163377e-04  9.99999398e-01  1.06187878e-03]
 [-1.42333184e-03 -1.06148609e-03  9.99998424e-01]]",[-2.58434818e-05 -1.22796050e-03  4.54212332e-04],[ 0.00098945 -0.01078379  0.00185439],0.9741828793494172
