view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006473055,0.0120583,"[[ 9.99999873e-01 -4.02328871e-04  3.03508512e-04]
 [ 4.02369324e-04  9.99999910e-01 -1.33236329e-04]
 [-3.03454880e-04  1.33358434e-04  9.99999945e-01]]","[[ 9.99999562e-01  1.01277515e-04  9.30338133e-04]
 [-1.01331629e-04  9.99999993e-01  5.81187174e-05]
 [-9.30332240e-04 -5.82129647e-05  9.99999566e-01]]",[ 0.00022127 -0.00049523  0.00026867],[-0.00019548 -0.01183878  0.00100838],0.9918773017295189
1 2,0.014467250000000001,0.0245866,"[[ 9.99999344e-01  1.00106086e-03  5.55977347e-04]
 [-1.00093501e-03  9.99999473e-01 -2.26588100e-04]
 [-5.56203883e-04  2.26031455e-04  9.99999820e-01]]","[[ 9.99997578e-01  2.17209300e-03  3.55925621e-04]
 [-2.17213014e-03  9.99997636e-01  1.03994023e-04]
 [-3.55698894e-04 -1.04766888e-04  9.99999931e-01]]",[0.00073735 0.00080746 0.00022011],[ 0.0017112  -0.0108483   0.00092714],0.9902652491469742
2 3,0.012190900000000001,0.0211359,"[[ 9.99997996e-01 -2.00208154e-03  2.17285953e-05]
 [ 2.00207913e-03  9.99997990e-01  1.10560984e-04]
 [-2.19499037e-05 -1.10517260e-04  9.99999994e-01]]","[[ 9.99998233e-01 -1.49366807e-03  1.14173631e-03]
 [ 1.49304782e-03  9.99998737e-01  5.43912575e-04]
 [-1.14254729e-03 -5.42206946e-04  9.99999200e-01]]",[ 9.19978901e-05 -1.68275127e-03  5.88516157e-04],[ 9.44373172e-05 -1.22565385e-02  1.55011491e-03],0.9677768904500264
3 4,0.016397099999999998,0.0284074,"[[ 9.99999931e-01 -3.51784206e-04 -1.20171734e-04]
 [ 3.51741944e-04  9.99999876e-01 -3.51524263e-04]
 [ 1.20295380e-04  3.51481969e-04  9.99999931e-01]]","[[ 9.99998422e-01 -1.73202045e-06 -1.77663324e-03]
 [-1.66082400e-06  9.99998177e-01 -1.90970122e-03]
 [ 1.77663331e-03  1.90970116e-03  9.99996598e-01]]",[-0.00032531 -0.00064394  0.00014367],[-0.00068142 -0.01335243 -0.00081879],0.978805422145114
4 5,0.013600250000000001,0.0227295,"[[ 9.99996972e-01  2.33457088e-03  7.78554317e-04]
 [-2.33405223e-03  9.99997054e-01 -6.66424260e-04]
 [-7.80107838e-04  6.64605055e-04  9.99999475e-01]]","[[ 9.99994579e-01  3.10071395e-03  1.10824740e-03]
 [-3.09998737e-03  9.99994979e-01 -6.56731303e-04]
 [-1.11027817e-03  6.53292189e-04  9.99999170e-01]]",[0.0010064  0.00163612 0.00010432],[ 0.00146907 -0.01044796  0.00082425],1.0305866667298018
5 6,0.01228665,0.0198737,"[[ 9.99999944e-01 -1.38927735e-04  3.04189460e-04]
 [ 1.38807060e-04  9.99999912e-01  3.96694482e-04]
 [-3.04244545e-04 -3.96652236e-04  9.99999875e-01]]","[[ 9.99999851e-01  4.23104363e-04 -3.44299571e-04]
 [-4.23231235e-04  9.99999843e-01 -3.68503822e-04]
 [ 3.44143602e-04  3.68649486e-04  9.99999873e-01]]",[0.00030449 0.00033229 0.00023136],[-0.00075092 -0.01179233  0.00012606],0.9910871284173874
6 7,0.011249950000000002,0.017106,"[[ 9.99999956e-01  7.30742906e-05  2.86961394e-04]
 [-7.29833988e-05  9.99999947e-01 -3.16736364e-04]
 [-2.86984525e-04  3.16715407e-04  9.99999909e-01]]","[[ 9.99998494e-01  1.47477671e-03  9.15316222e-04]
 [-1.47578480e-03  9.99998304e-01  1.10165896e-03]
 [-9.13689969e-04 -1.10300812e-03  9.99998974e-01]]",[ 0.00011077 -0.00026399  0.00038661],[ 0.00110164 -0.01081421  0.00197973],0.9875130772060762
7 8,0.0069373049999999995,0.012474,"[[ 9.99999673e-01 -3.78648425e-04  7.13921034e-04]
 [ 3.78834597e-04  9.99999894e-01 -2.60656737e-04]
 [-7.13822261e-04  2.60927110e-04  9.99999711e-01]]","[[ 9.99999191e-01  8.02600300e-04  9.86608758e-04]
 [-8.02986010e-04  9.99999601e-01  3.90610921e-04]
 [-9.86294860e-04 -3.91402839e-04  9.99999437e-01]]",[ 0.00039467 -0.00061558  0.00074849],[ 0.00051604 -0.01118442  0.00166088],0.9678316293233875
8 9,0.012499650000000001,0.019721,"[[ 9.99999658e-01 -7.93237098e-04  2.34720121e-04]
 [ 7.93269989e-04  9.99999676e-01 -1.40068769e-04]
 [-2.34608937e-04  1.40254917e-04  9.99999963e-01]]","[[ 9.99999200e-01  1.82521906e-04  1.25145427e-03]
 [-1.83467109e-04  9.99999698e-01  7.55210368e-04]
 [-1.25131605e-03 -7.55439364e-04  9.99998932e-01]]",[ 3.18640668e-05 -9.23266434e-04  4.28470636e-04],[ 0.00066396 -0.01169133  0.00189196],0.9788513997532441
