view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00646725,0.0113042,"[[ 9.99999045e-01 -8.41505722e-04  1.09600003e-03]
 [ 8.42228464e-04  9.99999428e-01 -6.59141257e-04]
 [-1.09544473e-03  6.60063710e-04  9.99999182e-01]]","[[ 9.99999947e-01  3.68991195e-05  3.24177647e-04]
 [-3.69639852e-05  9.99999979e-01  2.00089179e-04]
 [-3.24170258e-04 -2.00101152e-04  9.99999927e-01]]",[ 0.00058724 -0.00140658  0.00125063],[ 0.00121549 -0.0111271   0.00150675],0.9392542789771056
1 2,0.0100228,0.0168058,"[[ 9.99998884e-01  9.61151599e-04  1.14352280e-03]
 [-9.60814338e-04  9.99999495e-01 -2.95445066e-04]
 [-1.14380619e-03  2.94346024e-04  9.99999303e-01]]","[[ 9.99999319e-01  1.16670354e-03 -3.13976055e-05]
 [-1.16676661e-03  9.99997136e-01 -2.08985680e-03]
 [ 2.89592723e-05  2.08989201e-03  9.99997816e-01]]",[0.00112568 0.00045252 0.0005541 ],[ 0.00183458 -0.01210338  0.00033715],0.9927093806644992
2 3,0.007340714999999999,0.013797,"[[ 9.99998826e-01  1.52473868e-03  1.50220564e-04]
 [-1.52476496e-03  9.99998822e-01  1.75008277e-04]
 [-1.49953546e-04 -1.75237123e-04  9.99999973e-01]]","[[ 9.99998058e-01  1.84990586e-03 -6.79705756e-04]
 [-1.84992826e-03  9.99998288e-01 -3.23236493e-05]
 [ 6.79644797e-04  3.35809934e-05  9.99999768e-01]]",[ 0.000404    0.00140725 -0.00042988],[ 0.0006371  -0.00960019 -0.00042326],0.9969912138898755
3 4,0.0114344,0.0179472,"[[ 9.99999621e-01 -1.49378952e-04  8.57152927e-04]
 [ 1.49743811e-04  9.99999898e-01 -4.25615492e-04]
 [-8.57089262e-04  4.25743685e-04  9.99999542e-01]]","[[ 9.99999366e-01  9.31824051e-04 -6.32730004e-04]
 [-9.31708575e-04  9.99999549e-01  1.82773855e-04]
 [ 6.32900032e-04 -1.82184219e-04  9.99999783e-01]]",[ 0.00052452 -0.00063577  0.00085567],[ 0.00152383 -0.01051373  0.00081447],0.9508686677282137
4 5,0.00948121,0.016002,"[[ 9.99995836e-01  2.68678759e-03  1.05303252e-03]
 [-2.68692135e-03  9.99996382e-01  1.25628974e-04]
 [-1.05269117e-03 -1.28457866e-04  9.99999438e-01]]","[[ 9.99996112e-01  2.77324634e-03  2.91573269e-04]
 [-2.77313928e-03  9.99996088e-01 -3.66929951e-04]
 [-2.92589716e-04  3.66119951e-04  9.99999890e-01]]",[ 0.00085493  0.00223559 -0.00013976],[ 0.00092361 -0.00923429 -0.0003241 ],1.0257496177081018
5 6,0.0075378500000000005,0.0131449,"[[ 9.99999068e-01 -4.87881552e-04  1.27539315e-03]
 [ 4.88592783e-04  9.99999725e-01 -5.57404288e-04]
 [-1.27512086e-03  5.58026916e-04  9.99999031e-01]]","[[ 9.99999970e-01  9.94807121e-05  2.22981135e-04]
 [-9.92983140e-05  9.99999661e-01 -8.17859811e-04]
 [-2.23062421e-04  8.17837645e-04  9.99999641e-01]]",[ 0.00095579 -0.00092708  0.00098094],[ 0.0011031  -0.01111431  0.00098862],0.9476571188557827
6 7,0.00927823,0.0162149,"[[ 9.99998671e-01 -1.48506854e-03 -6.73445412e-04]
 [ 1.48474758e-03  9.99998784e-01 -4.76847979e-04]
 [ 6.74152745e-04  4.75847449e-04  9.99999660e-01]]","[[ 0.99999788 -0.0014952  -0.00141297]
 [ 0.00149363  0.99999827 -0.00111201]
 [ 0.00141463  0.00110989  0.99999838]]",[-0.00058383 -0.00158713 -0.00012089],[-0.00053169 -0.01255227 -0.00034274],0.9650888429307474
7 8,0.009626955,0.0146612,"[[ 9.99999951e-01 -2.29823466e-04  2.13165484e-04]
 [ 2.29913991e-04  9.99999883e-01 -4.24744888e-04]
 [-2.13067843e-04  4.24793877e-04  9.99999887e-01]]","[[ 9.99999596e-01  5.54238114e-04 -7.08164636e-04]
 [-5.55230559e-04  9.99998863e-01 -1.40200459e-03]
 [ 7.07386786e-04  1.40239721e-03  9.99998766e-01]]",[ 4.31084744e-05 -6.65265587e-04  3.54681749e-04],[ 0.00166358 -0.01207853  0.00060373],0.9832471293460597
8 9,0.01004625,0.0174216,"[[ 9.99999163e-01  1.14735247e-03  5.97572014e-04]
 [-1.14726100e-03  9.99999330e-01 -1.53378364e-04]
 [-5.97747593e-04  1.52692665e-04  9.99999810e-01]]","[[ 9.99998767e-01  1.56552378e-03 -1.25996995e-04]
 [-1.56556536e-03  9.99998720e-01 -3.30621831e-04]
 [ 1.25479238e-04  3.30818679e-04  9.99999937e-01]]",[0.00070194 0.00074038 0.00030073],[ 0.00159037 -0.01035758  0.0003775 ],0.9909316297492683
