view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00645164,0.0120473,"[[ 9.99999862e-01 -4.27101367e-04  3.06382239e-04]
 [ 4.27142885e-04  9.99999900e-01 -1.35456386e-04]
 [-3.06324354e-04  1.35587236e-04  9.99999944e-01]]","[[ 9.99999548e-01  7.17004649e-05  9.47739857e-04]
 [-7.17588674e-05  9.99999996e-01  6.15890367e-05]
 [-9.47735437e-04 -6.16570177e-05  9.99999549e-01]]",[ 0.00023321 -0.00049423  0.00025528],[-0.00012071 -0.01157975  0.00095875],0.9923622378846215
1 2,0.0144717,0.0245846,"[[ 9.99999362e-01  9.68871716e-04  5.80694620e-04]
 [-9.68755847e-04  9.99999511e-01 -1.99783935e-04]
 [-5.80887901e-04  1.99221256e-04  9.99999811e-01]]","[[ 9.99997661e-01  2.12974613e-03  3.78190002e-04]
 [-2.12979889e-03  9.99997722e-01  1.39152314e-04]
 [-3.77892781e-04 -1.39957458e-04  9.99999919e-01]]",[0.00077064 0.00072854 0.00022802],[ 0.00175034 -0.01064603  0.0009408 ],0.990089176708364
2 3,0.01221505,0.0211246,"[[ 9.99997900e-01 -2.04955908e-03 -1.49226619e-05]
 [ 2.04956035e-03  9.99997896e-01  8.52867457e-05]
 [ 1.47478303e-05 -8.53171515e-05  9.99999996e-01]]","[[ 9.99998158e-01 -1.55071567e-03  1.13075121e-03]
 [ 1.55011793e-03  9.99998658e-01  5.29307819e-04]
 [-1.13157050e-03 -5.27554047e-04  9.99999221e-01]]",[ 8.91503419e-05 -1.61220212e-03  5.74910027e-04],[ 0.00017056 -0.01194725  0.00147199],0.9703860658436181
3 4,0.01642915,0.0284102,"[[ 9.99999935e-01 -3.30538737e-04 -1.41597604e-04]
 [ 3.30485719e-04  9.99999875e-01 -3.74292745e-04]
 [ 1.41721304e-04  3.74245925e-04  9.99999920e-01]]","[[ 9.99998317e-01  6.12736854e-05 -1.83340401e-03]
 [-6.48753729e-05  9.99998068e-01 -1.96448609e-03]
 [ 1.83328010e-03  1.96460173e-03  9.99996390e-01]]",[-0.00031724 -0.00062526  0.00013212],[-0.00075206 -0.01315332 -0.00071952],0.9804952964846712
4 5,0.0136256,0.0227473,"[[ 9.99997082e-01  2.26558266e-03  8.38494862e-04]
 [-2.26507636e-03  9.99997252e-01 -6.04279931e-04]
 [-8.39861604e-04  6.02378913e-04  9.99999466e-01]]","[[ 9.99994735e-01  3.02748866e-03  1.16772065e-03]
 [-3.02678141e-03  9.99995235e-01 -6.06958607e-04]
 [-1.16955265e-03  6.03420977e-04  9.99999134e-01]]",[0.001053   0.00146911 0.00018342],[ 0.00154208 -0.01034262  0.0008741 ],1.029012365017511
5 6,0.01229165,0.0198708,"[[ 9.99999933e-01 -1.89296722e-04  3.14084334e-04]
 [ 1.89165452e-04  9.99999895e-01  4.17921563e-04]
 [-3.14163412e-04 -4.17862121e-04  9.99999863e-01]]","[[ 9.99999860e-01  3.94304963e-04 -3.52023319e-04]
 [-3.94432277e-04  9.99999857e-01 -3.61665127e-04]
 [ 3.51880663e-04  3.61803926e-04  9.99999873e-01]]",[0.00031503 0.00032203 0.0002277 ],[-0.00074104 -0.01157704  0.00016551],0.990587475573558
6 7,0.01129895,0.0171363,"[[ 9.99999950e-01  1.17653306e-04  2.94220742e-04]
 [-1.17557819e-04  9.99999940e-01 -3.24537873e-04]
 [-2.94258908e-04  3.24503269e-04  9.99999904e-01]]","[[ 9.99998483e-01  1.46873703e-03  9.36527962e-04]
 [-1.46976337e-03  9.99998319e-01  1.09615333e-03]
 [-9.34916426e-04 -1.09752814e-03  9.99998961e-01]]",[ 0.00014692 -0.00023124  0.00036997],[ 0.00120859 -0.01051139  0.001885  ],0.9893875678091751
7 8,0.0069539400000000005,0.0124937,"[[ 9.99999651e-01 -4.15494824e-04  7.24700187e-04]
 [ 4.15687015e-04  9.99999878e-01 -2.65070234e-04]
 [-7.24589964e-04  2.65371390e-04  9.99999702e-01]]","[[ 9.99999222e-01  7.45455563e-04  1.00026320e-03]
 [-7.45850740e-04  9.99999644e-01  3.94758528e-04]
 [-9.99968565e-04 -3.95504267e-04  9.99999422e-01]]",[ 0.00043556 -0.00061737  0.00072778],[ 0.00060466 -0.01094667  0.00161166],0.9695922462646643
8 9,0.012537300000000001,0.0196331,"[[ 9.99999542e-01 -9.31676841e-04  2.18636100e-04]
 [ 9.31713583e-04  9.99999552e-01 -1.68013192e-04]
 [-2.18479468e-04  1.68216822e-04  9.99999962e-01]]","[[ 9.99999146e-01  4.47559750e-05  1.30647551e-03]
 [-4.58617580e-05  9.99999641e-01  8.46368660e-04]
 [-1.30643716e-03 -8.46427854e-04  9.99998788e-01]]",[ 1.45927242e-05 -1.01386110e-03  4.49354358e-04],[ 0.00076721 -0.01139349  0.00189193],0.9775887029683156
