view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006468525,0.0112968,"[[ 9.99999062e-01 -8.58893448e-04  1.06672358e-03]
 [ 8.59613969e-04  9.99999403e-01 -6.75177840e-04]
 [-1.06614304e-03  6.76094177e-04  9.99999203e-01]]","[[ 9.99999960e-01 -6.01267498e-06  2.83440990e-04]
 [ 5.96035761e-06  9.99999983e-01  1.84579904e-04]
 [-2.83442095e-04 -1.84578208e-04  9.99999943e-01]]",[ 0.00064854 -0.00136586  0.00113949],[ 0.00128432 -0.01108156  0.00142138],0.9445532042745853
1 2,0.01002865,0.0168078,"[[ 9.99998932e-01  8.95676731e-04  1.15493059e-03]
 [-8.95377131e-04  9.99999565e-01 -2.59900303e-04]
 [-1.15516288e-03  2.58865927e-04  9.99999299e-01]]","[[ 9.99999338e-01  1.14999406e-03 -3.78549363e-05]
 [-1.15006952e-03  9.99997222e-01 -2.05759766e-03]
 [ 3.54886060e-05  2.05763983e-03  9.99997882e-01]]",[0.00115142 0.00040289 0.00054881],[ 0.00183782 -0.01211967  0.00042615],0.9931398968127314
2 3,0.007332864999999999,0.0137825,"[[ 9.99998907e-01  1.46718835e-03  1.84533064e-04]
 [-1.46722889e-03  9.99998899e-01  2.19746199e-04]
 [-1.84210451e-04 -2.20016711e-04  9.99999959e-01]]","[[ 9.99998169e-01  1.79687700e-03 -6.58838035e-04]
 [-1.79687232e-03  9.99998386e-01  7.68800945e-06]
 [ 6.58850786e-04 -6.50414754e-06  9.99999783e-01]]",[ 0.00039202  0.00132591 -0.00034979],[ 0.00061584 -0.00963327 -0.00029733],0.9964036520279044
3 4,0.011431549999999999,0.0179355,"[[ 9.99999620e-01 -1.57710495e-04  8.57753803e-04]
 [ 1.58076250e-04  9.99999897e-01 -4.26359479e-04]
 [-8.57686473e-04  4.26494907e-04  9.99999541e-01]]","[[ 9.99999378e-01  9.01042624e-04 -6.57141443e-04]
 [-9.00926145e-04  9.99999578e-01  1.77524900e-04]
 [ 6.57301124e-04 -1.76932753e-04  9.99999768e-01]]",[ 0.00056019 -0.00061789  0.00080658],[ 0.0015456  -0.01047814  0.00083358],0.9541484960020102
4 5,0.009470665,0.0159909,"[[ 9.99996308e-01  2.48098306e-03  1.10879545e-03]
 [-2.48123125e-03  9.99996897e-01  2.22523709e-04]
 [-1.10823993e-03 -2.25274066e-04  9.99999361e-01]]","[[ 9.99996613e-01  2.58081570e-03  3.38028059e-04]
 [-2.58072330e-03  9.99996633e-01 -2.73494666e-04]
 [-3.38732760e-04  2.72621383e-04  9.99999905e-01]]",[ 8.61276198e-04  2.05836500e-03 -1.07080095e-05],[ 0.00091461 -0.0093301  -0.00014518],1.0219386028273056
5 6,0.007532525,0.0131297,"[[ 9.99999067e-01 -5.32754406e-04  1.25817376e-03]
 [ 5.33453704e-04  9.99999703e-01 -5.55533367e-04]
 [-1.25787742e-03  5.56204026e-04  9.99999054e-01]]","[[ 9.99999980e-01  6.17871485e-05  1.89328431e-04]
 [-6.16324207e-05  9.99999664e-01 -8.17142359e-04]
 [-1.89378857e-04  8.17130674e-04  9.99999648e-01]]",[ 0.00100442 -0.00091683  0.00089559],[ 0.00114476 -0.01110308  0.00096171],0.9514640316540894
6 7,0.009270094999999999,0.0162062,"[[ 9.99998802e-01 -1.37716258e-03 -7.06316905e-04]
 [ 1.37678750e-03  9.99998911e-01 -5.31242405e-04]
 [ 7.07047743e-04  5.30269320e-04  9.99999609e-01]]","[[ 0.99999801 -0.00136979 -0.00145379]
 [ 0.00136809  0.99999838 -0.00116824]
 [ 0.00145539  0.00116624  0.99999826]]",[-0.00056395 -0.0015088  -0.00018376],[-0.00052405 -0.01247457 -0.00035645],0.9686107668425814
7 8,0.009626375,0.0146519,"[[ 9.99999961e-01 -1.99164513e-04  1.94132714e-04]
 [ 1.99249672e-04  9.99999884e-01 -4.38745362e-04]
 [-1.94045309e-04  4.38784026e-04  9.99999885e-01]]","[[ 9.99999535e-01  6.10128365e-04 -7.47438379e-04]
 [-6.11186445e-04  9.99998810e-01 -1.41619847e-03]
 [ 7.46573427e-04  1.41665464e-03  9.99998718e-01]]",[ 6.85557775e-05 -6.35683281e-04  2.98075731e-04],[ 0.00168215 -0.01201878  0.00061661],0.9856192972677874
8 9,0.0100493,0.017421,"[[ 9.99999219e-01  1.09272317e-03  6.06899438e-04]
 [-1.09265036e-03  9.99999396e-01 -1.20302936e-04]
 [-6.07030529e-04  1.19639713e-04  9.99999809e-01]]","[[ 9.99998845e-01  1.51426845e-03 -1.27825174e-04]
 [-1.51430668e-03  9.99998809e-01 -2.99512973e-04]
 [ 1.27371478e-04  2.99706193e-04  9.99999947e-01]]",[0.00072579 0.00068219 0.0003071 ],[ 0.00160576 -0.01035557  0.0004259 ],0.9909871081432209
