view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.009398315,0.0156535,"[[ 9.99998995e-01 -1.41658762e-03 -5.36265638e-05]
 [ 1.41659225e-03  9.99998993e-01  8.63266443e-05]
 [ 5.35042205e-05 -8.64025246e-05  9.99999995e-01]]","[[ 9.99999857e-01 -6.96838665e-05  5.29783735e-04]
 [ 6.91370038e-05  9.99999465e-01  1.03218587e-03]
 [-5.29855378e-04 -1.03214909e-03  9.99999327e-01]]",[-0.00034991 -0.0010846   0.00059754],[-0.00016892 -0.01048897  0.00225155],0.9632407771963771
1 2,0.011394600000000001,0.0214688,"[[ 9.99999928e-01  2.83418810e-05 -3.79069648e-04]
 [-2.81941538e-05  9.99999924e-01  3.89709438e-04]
 [ 3.79080664e-04 -3.89698722e-04  9.99999852e-01]]","[[ 9.99999488e-01  9.15134703e-04 -4.30969197e-04]
 [-9.15142821e-04  9.99999581e-01 -1.86389062e-05]
 [ 4.30951959e-04  1.90332950e-05  9.99999907e-01]]",[-0.00012455  0.00046726 -0.00057435],[-3.45651101e-05 -1.07312136e-02  3.12489328e-04],1.026033861151418
2 3,0.0116598,0.0169507,"[[ 9.99996458e-01  2.26354514e-03  1.40018499e-03]
 [-2.26239615e-03  9.99997103e-01 -8.21640315e-04]
 [-1.40204076e-03  8.18469631e-04  9.99998682e-01]]","[[ 9.99992649e-01  3.79382875e-03 -5.55213246e-04]
 [-3.79415326e-03  9.99992631e-01 -5.84597126e-04]
 [ 5.52991293e-04  5.86699393e-04  9.99999675e-01]]",[0.00110757 0.00069699 0.00053615],[-0.00067321 -0.00921721 -0.0002896 ],0.9879489072397355
3 4,0.0148436,0.023486,"[[ 9.99999386e-01 -9.90129727e-04 -4.97788077e-04]
 [ 9.90216998e-04  9.99999494e-01  1.75101312e-04]
 [ 4.97614452e-04 -1.75594122e-04  9.99999861e-01]]","[[ 9.99999764e-01 -3.72323176e-05 -6.85886671e-04]
 [ 3.73594009e-05  9.99999982e-01  1.85271286e-04]
 [ 6.85879761e-04 -1.85296867e-04  9.99999748e-01]]",[-0.00053792 -0.00055198 -0.0002639 ],[ 0.00013695 -0.01091658  0.0007399 ],0.9963530306941802
4 5,0.013818500000000001,0.0217209,"[[ 9.99995575e-01 -2.97500490e-03 -1.57223306e-06]
 [ 2.97500409e-03  9.99995503e-01 -3.77888231e-04]
 [ 2.69644533e-06  3.77881881e-04  9.99999929e-01]]","[[ 9.99998697e-01 -1.60913909e-03  1.28359666e-04]
 [ 1.60904424e-03  9.99998435e-01  7.35601185e-04]
 [-1.29543150e-04 -7.35393690e-04  9.99999721e-01]]",[-0.00032127 -0.0027362   0.00109204],[ 0.00017197 -0.01150146  0.00263979],0.9352731816358668
5 6,0.010046,0.0170527,"[[ 9.99999881e-01 -4.83226894e-04 -7.32616414e-05]
 [ 4.83225884e-04  9.99999883e-01 -1.38064221e-05]
 [ 7.32683045e-05  1.37710186e-05  9.99999997e-01]]","[[ 9.99999679e-01  7.84318815e-04 -1.65128881e-04]
 [-7.84337963e-04  9.99999686e-01 -1.15928650e-04]
 [ 1.65037904e-04  1.16058130e-04  9.99999980e-01]]",[-1.26727659e-04 -4.01009266e-04  3.73912475e-05],[ 0.00063643 -0.01106979  0.00126656],0.9855671423893166
6 7,0.008928465,0.0169073,"[[ 9.99995587e-01 -2.93560218e-03 -4.56839280e-04]
 [ 2.93563138e-03  9.99995689e-01  6.32411153e-05]
 [ 4.56651660e-04 -6.45819479e-05  9.99999894e-01]]","[[ 9.99998947e-01 -1.14367831e-03 -8.93666257e-04]
 [ 1.14383406e-03  9.99999331e-01  1.73791572e-04]
 [ 8.93466897e-04 -1.74813595e-04  9.99999586e-01]]",[-0.00087918 -0.00228925  0.0008707 ],[-0.00094969 -0.01241238  0.0017489 ],0.9242009272630618
7 8,0.01302765,0.0217117,"[[ 9.99995430e-01 -3.01205057e-03 -2.58794428e-04]
 [ 3.01183072e-03  9.99995107e-01 -8.45773166e-04]
 [ 2.61340674e-04  8.44989856e-04  9.99999609e-01]]","[[ 9.99996353e-01 -2.52847160e-03 -9.49336331e-04]
 [ 2.52744969e-03  9.99996227e-01 -1.07610303e-03]
 [ 9.52053645e-04  1.07369971e-03  9.99998970e-01]]",[-0.00056483 -0.00296291  0.00029099],[-0.00169239 -0.01272232  0.00033126],0.9455534699895791
8 9,0.00870586,0.0146581,"[[ 9.99999678e-01  8.00317109e-04  6.50679158e-05]
 [-8.00318938e-04  9.99999679e-01  2.80923501e-05]
 [-6.50454122e-05 -2.81444162e-05  9.99999997e-01]]","[[ 9.99997538e-01  2.12552599e-03 -6.37975991e-04]
 [-2.12536395e-03  9.99997709e-01  2.54554994e-04]
 [ 6.38515592e-04 -2.53198436e-04  9.99999764e-01]]",[ 0.00023464  0.00070861 -0.00024419],[ 0.00042411 -0.00988173  0.00029921],1.001670768508812
