view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.009358195,0.0158578,"[[ 9.99999306e-01 -1.17807579e-03  8.65709251e-06]
 [ 1.17807450e-03  9.99999295e-01  1.47661343e-04]
 [-8.83104266e-06 -1.47651042e-04  9.99999989e-01]]","[[ 9.99999857e-01  2.13133329e-04  4.89655246e-04]
 [-2.13591312e-04  9.99999540e-01  9.35456218e-04]
 [-4.89455644e-04 -9.35560671e-04  9.99999443e-01]]",[-0.00032404 -0.00111961  0.0006166 ],[-0.000465   -0.011462    0.00231531],0.9637953047521389
1 2,0.01134835,0.0214775,"[[ 9.99999924e-01  5.60160039e-05 -3.87117075e-04]
 [-5.58792225e-05  9.99999936e-01  3.53335105e-04]
 [ 3.87136843e-04 -3.53313446e-04  9.99999863e-01]]","[[ 9.99999493e-01  9.08695312e-04 -4.34642273e-04]
 [-9.08712695e-04  9.99999586e-01 -3.97979272e-05]
 [ 4.34605929e-04  4.01928720e-05  9.99999905e-01]]",[-2.44506079e-05  4.97083663e-04 -6.25441807e-04],[-3.45821707e-05 -1.15057170e-02  2.32755013e-04],1.0282544816350438
2 3,0.011613700000000001,0.016998,"[[ 9.99996749e-01  2.20904673e-03  1.27364274e-03]
 [-2.20784689e-03  9.99997118e-01 -9.42692042e-04]
 [-1.27572152e-03  9.39876969e-04  9.99998745e-01]]","[[ 9.99992781e-01  3.76229769e-03 -5.32587693e-04]
 [-3.76265246e-03  9.99992699e-01 -6.66705414e-04]
 [ 5.30075461e-04  6.68704543e-04  9.99999636e-01]]",[0.00089506 0.00100173 0.00048287],[-0.00074278 -0.00949026 -0.00061187],0.9847824196671141
3 4,0.01480935,0.023492,"[[ 9.99999488e-01 -9.04594188e-04 -4.54161973e-04]
 [ 9.04688210e-04  9.99999569e-01  2.06859702e-04]
 [ 4.53974653e-04 -2.07270471e-04  9.99999875e-01]]","[[ 9.99999798e-01  4.98050738e-05 -6.33948101e-04]
 [-4.96705187e-05  9.99999976e-01  2.12263351e-04]
 [ 6.33958658e-04 -2.12231820e-04  9.99999777e-01]]",[-0.00041513 -0.00064012 -0.00029917],[ 0.00020621 -0.01178975  0.00067602],0.9962172390731073
4 5,0.013672650000000001,0.0217886,"[[ 9.99996744e-01 -2.54972017e-03  1.05248099e-04]
 [ 2.54974697e-03  9.99996717e-01 -2.55297160e-04]
 [-1.04596817e-04  2.55564685e-04  9.99999962e-01]]","[[ 9.99999360e-01 -1.11769789e-03  1.74212196e-04]
 [ 1.11757902e-03  9.99999144e-01  6.80955563e-04]
 [-1.74973149e-04 -6.80760432e-04  9.99999753e-01]]",[-0.00027156 -0.00285929  0.00109118],[ 6.73633702e-06 -1.24650098e-02  2.63065550e-03],0.9314985239985402
5 6,0.0100261,0.0170457,"[[ 9.99999888e-01 -4.67407924e-04 -6.98776760e-05]
 [ 4.67408168e-04  9.99999891e-01  3.47693898e-06]
 [ 6.98760432e-05 -3.50959998e-06  9.99999998e-01]]","[[ 9.99999672e-01  7.98633698e-04 -1.32133469e-04]
 [-7.98643904e-04  9.99999678e-01 -7.71997645e-05]
 [ 1.32071772e-04  7.73052668e-05  9.99999988e-01]]",[-1.04376132e-04 -4.76851075e-04  3.92226743e-05],[ 0.00058586 -0.01187945  0.00128264],0.9832600512604959
6 7,0.008900525,0.0169122,"[[ 9.99996245e-01 -2.72337719e-03 -3.06262925e-04]
 [ 2.72344340e-03  9.99996268e-01  2.15983574e-04]
 [ 3.05673578e-04 -2.16816852e-04  9.99999930e-01]]","[[ 9.99999326e-01 -9.27260933e-04 -6.99230772e-04]
 [ 9.27476201e-04  9.99999523e-01  3.07602948e-04]
 [ 6.98945209e-04 -3.08251261e-04  9.99999708e-01]]",[-0.00082689 -0.00263651  0.00095478],[-0.00098396 -0.01344027  0.00177089],0.917358265875926
7 8,0.0130054,0.0217033,"[[ 9.99995533e-01 -2.98594595e-03 -1.36392957e-04]
 [ 2.98586197e-03  9.99995355e-01 -6.11813153e-04]
 [ 1.38219165e-04  6.11403169e-04  9.99999804e-01]]","[[ 9.99996509e-01 -2.52301775e-03 -7.84992293e-04]
 [ 2.52236594e-03  9.99996474e-01 -8.30224367e-04]
 [ 7.87084196e-04  8.28241431e-04  9.99999347e-01]]",[-0.00049176 -0.00323809  0.00033747],[-0.00162732 -0.01354613  0.00026663],0.9339250250817662
8 9,0.00873794,0.0146599,"[[ 9.99999743e-01  7.15841024e-04  4.35817973e-05]
 [-7.15840740e-04  9.99999744e-01 -6.53767679e-06]
 [-4.35864660e-05  6.50647749e-06  9.99999999e-01]]","[[ 9.99997699e-01  2.06299935e-03 -5.88748827e-04]
 [-2.06287344e-03  9.99997849e-01  2.14378881e-04]
 [ 5.89189824e-04 -2.13163873e-04  9.99999804e-01]]",[ 0.000198    0.00077976 -0.00023595],[ 0.00041154 -0.01056277  0.00023707],0.9995317312309754
