view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0064495,0.0113587,"[[ 9.99998994e-01 -7.60928648e-04  1.19697921e-03]
 [ 7.61627093e-04  9.99999540e-01 -5.83158776e-04]
 [-1.19653492e-03  5.84069841e-04  9.99999114e-01]]","[[ 9.99999827e-01  2.92942207e-04  5.09215234e-04]
 [-2.93082495e-04  9.99999919e-01  2.75446991e-04]
 [-5.09134502e-04 -2.75596185e-04  9.99999832e-01]]",[ 0.00021154 -0.00167856  0.00162814],[ 0.00078963 -0.01132111  0.00173486],0.8932676356410598
1 2,0.009945969999999998,0.0167955,"[[ 9.99998921e-01  1.02564652e-03  1.05131731e-03]
 [-1.02520994e-03  9.99999388e-01 -4.15720620e-04]
 [-1.05174305e-03  4.14642350e-04  9.99999361e-01]]","[[ 9.99999597e-01  8.97688925e-04 -6.53887312e-06]
 [-8.97701027e-04  9.99997230e-01 -2.17571588e-03]
 [ 4.58573896e-06  2.17572087e-03  9.99997633e-01]]",[0.00087244 0.00078225 0.00074539],[ 1.81027599e-03 -1.19421718e-02 -8.57787903e-05],0.9881719255043839
2 3,0.007387970000000001,0.013913,"[[ 9.99998835e-01  1.52577639e-03 -4.85918490e-05]
 [-1.52577506e-03  9.99998836e-01  2.74738139e-05]
 [ 4.86337114e-05 -2.73996417e-05  9.99999998e-01]]","[[ 9.99998022e-01  1.82906276e-03 -7.80970888e-04]
 [-1.82917113e-03  9.99998318e-01 -1.38061659e-04]
 [ 7.80717051e-04  1.39489915e-04  9.99999686e-01]]",[ 0.00040781  0.00198617 -0.00063684],[ 0.0007388  -0.00942377 -0.00091665],1.00825217846572
3 4,0.01141065,0.018013,"[[ 9.99999650e-01 -1.55311603e-04  8.21902746e-04]
 [ 1.55667976e-04  9.99999894e-01 -4.33549351e-04]
 [-8.21835324e-04  4.33677143e-04  9.99999568e-01]]","[[ 9.99999284e-01  1.09181972e-03 -4.89535280e-04]
 [-1.09170999e-03  9.99999379e-01  2.24368063e-04]
 [ 4.89779946e-04 -2.23833472e-04  9.99999855e-01]]",[ 0.00026789 -0.00079875  0.00106545],[ 0.00139405 -0.01067561  0.00061418],0.9192839248355233
4 5,0.023044349999999998,0.0342003,"[[ 9.99985936e-01 -5.30126033e-03 -1.54829385e-04]
 [ 5.30182187e-03  9.99978399e-01  3.88482612e-03]
 [ 1.34231566e-04 -3.88559236e-03  9.99992442e-01]]","[[ 9.99974470e-01 -7.14387977e-03 -1.54247403e-04]
 [ 7.14539093e-03  9.99861594e-01  1.50245061e-02]
 [ 4.68927898e-05 -1.50252247e-02  9.99887114e-01]]",[-0.02188091 -0.02259748  0.06739436],[-0.02007547 -0.02317865  0.07777179],0.8440467149104929
5 6,0.007578079999999999,0.013277,"[[ 9.99999114e-01 -3.26968780e-04  1.29051740e-03]
 [ 3.27729513e-04  9.99999773e-01 -5.89311420e-04]
 [-1.29032442e-03  5.89733838e-04  9.99998994e-01]]","[[ 9.99999912e-01  2.18560711e-04  3.58129936e-04]
 [-2.18267056e-04  9.99999640e-01 -8.19801432e-04]
 [-3.58308983e-04  8.19723192e-04  9.99999600e-01]]",[ 0.00066729 -0.00097752  0.00124684],[ 0.00090473 -0.01105444  0.00090092],0.9141979457879241
6 7,0.009339895,0.0162708,"[[ 9.99998253e-01 -1.79996913e-03 -5.03189300e-04]
 [ 1.79986047e-03  9.99998357e-01 -2.16312663e-04]
 [ 5.03577830e-04  2.15406614e-04  9.99999850e-01]]","[[ 9.99997436e-01 -1.92909514e-03 -1.18597354e-03]
 [ 1.92810807e-03  9.99997794e-01 -8.32867474e-04]
 [ 1.18757761e-03  8.30578653e-04  9.99998950e-01]]",[-6.12382489e-04 -2.15209189e-03 -8.18407746e-05],[-0.00042914 -0.01302976 -0.000616  ],0.9360965783848131
7 8,0.009600915,0.0147136,"[[ 9.99999886e-01 -3.72795035e-04  2.97928992e-04]
 [ 3.72898118e-04  9.99999871e-01 -3.46019741e-04]
 [-2.97799959e-04  3.46130799e-04  9.99999896e-01]]","[[ 9.99999854e-01  2.33570792e-04 -4.87289406e-04]
 [-2.34210639e-04  9.99999110e-01 -1.31342862e-03]
 [ 4.86982194e-04  1.31354256e-03  9.99999019e-01]]",[-0.0001058  -0.0009048   0.00053769],[ 0.00160818 -0.01245202  0.00034724],0.9632184956740105
8 9,0.00999667,0.0174211,"[[ 9.99999163e-01  1.18129715e-03  5.27737579e-04]
 [-1.18116894e-03  9.99999273e-01 -2.43187456e-04]
 [-5.28024472e-04  2.42563905e-04  9.99999831e-01]]","[[ 9.99998747e-01  1.57837241e-03 -1.20604623e-04]
 [-1.57842073e-03  9.99998674e-01 -4.01605851e-04]
 [ 1.19970579e-04  4.01795713e-04  9.99999912e-01]]",[0.00045856 0.00114744 0.00039179],[ 0.00143306 -0.01037073  0.00019139],0.9920116759621426
