view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00938094,0.015772,"[[ 9.99999118e-01 -1.32809434e-03 -2.68194761e-06]
 [ 1.32809472e-03  9.99999107e-01  1.47390601e-04]
 [ 2.48619659e-06 -1.47394033e-04  9.99999989e-01]]","[[ 9.99999862e-01  7.70517455e-05  5.18966757e-04]
 [-7.75884666e-05  9.99999462e-01  1.03427024e-03]
 [-5.18886785e-04 -1.03431036e-03  9.99999330e-01]]",[-0.00035918 -0.00121565  0.0007084 ],[-0.00043122 -0.01085209  0.0024677 ],0.9577814868736412
1 2,0.01136745,0.0214789,"[[ 9.99999917e-01  3.31907855e-05 -4.05549599e-04]
 [-3.30375177e-05  9.99999928e-01  3.77926870e-04]
 [ 4.05562113e-04 -3.77913441e-04  9.99999846e-01]]","[[ 9.99999508e-01  8.87781270e-04 -4.42288757e-04]
 [-8.87795636e-04  9.99999605e-01 -3.22843395e-05]
 [ 4.42259921e-04  3.26769856e-05  9.99999902e-01]]",[-4.52361341e-05  5.08155000e-04 -6.60796476e-04],[-4.86027541e-05 -1.09325467e-02  2.17689936e-04],1.0311007848705147
2 3,0.01178305,0.0170232,"[[ 9.99996468e-01  2.30821883e-03  1.31757981e-03]
 [-2.30697378e-03  9.99996892e-01 -9.45691560e-04]
 [-1.31975858e-03  9.42648598e-04  9.99998685e-01]]","[[ 9.99992508e-01  3.83406824e-03 -5.32442007e-04]
 [-3.83442723e-03  9.99992421e-01 -6.74863992e-04]
 [ 5.29850497e-04  6.76900546e-04  9.99999631e-01]]",[0.00095965 0.00096804 0.0004776 ],[-0.00074582 -0.00896871 -0.00063044],0.984614365331722
3 4,0.0148195,0.0234994,"[[ 9.99999392e-01 -9.88687004e-04 -4.88544107e-04]
 [ 9.88791715e-04  9.99999488e-01  2.14137255e-04]
 [ 4.88332142e-04 -2.14620193e-04  9.99999858e-01]]","[[ 9.99999783e-01 -3.15748787e-05 -6.58092180e-04]
 [ 3.17263576e-05  9.99999973e-01  2.30169673e-04]
 [ 6.58084895e-04 -2.30190502e-04  9.99999757e-01]]",[-0.00045849 -0.00066106 -0.00030221],[ 0.00012584 -0.01120899  0.00069603],0.9952487169039321
4 5,0.01373855,0.0217768,"[[ 9.99996122e-01 -2.78375553e-03  8.24999333e-05]
 [ 2.78377990e-03  9.99996081e-01 -2.96670612e-04]
 [-8.16737516e-05  2.96899123e-04  9.99999953e-01]]","[[ 9.99999088e-01 -1.33910659e-03  1.76444348e-04]
 [ 1.33897349e-03  9.99998821e-01  7.52310081e-04]
 [-1.77451563e-04 -7.52073141e-04  9.99999701e-01]]",[-0.00030887 -0.00299834  0.00121408],[-2.71228163e-05 -1.18816342e-02  2.80075490e-03],0.9203440927141108
5 6,0.0100141,0.0170443,"[[ 9.99999883e-01 -4.78768636e-04 -7.10349784e-05]
 [ 4.78768192e-04  9.99999885e-01 -6.26049182e-06]
 [ 7.10379676e-05  6.22648180e-06  9.99999997e-01]]","[[ 9.99999679e-01  7.88417805e-04 -1.45099650e-04]
 [-7.88431463e-04  9.99999685e-01 -9.40949148e-05]
 [ 1.45025418e-04  9.42092857e-05  9.99999985e-01]]",[-1.09524768e-04 -4.75617132e-04  4.90968179e-05],[ 0.00053013 -0.01129366  0.00128334],0.9817314498104929
6 7,0.00889495,0.0169223,"[[ 9.99995829e-01 -2.86511404e-03 -3.63461990e-04]
 [ 2.86518115e-03  9.99995878e-01  1.84252467e-04]
 [ 3.62932588e-04 -1.85293083e-04  9.99999917e-01]]","[[ 9.99999145e-01 -1.06411699e-03 -7.59446575e-04]
 [ 1.06434292e-03  9.99999389e-01  2.97152169e-04]
 [ 7.59129907e-04 -2.97960227e-04  9.99999667e-01]]",[-0.00088635 -0.00265867  0.00100227],[-0.00106408 -0.01283     0.00182563],0.9097128554627791
7 8,0.0130556,0.0217449,"[[ 9.99995444e-01 -3.01141886e-03 -2.10148676e-04]
 [ 3.01126298e-03  9.99995194e-01 -7.38142539e-04]
 [ 2.12370522e-04  7.37506362e-04  9.99999705e-01]]","[[ 9.99996387e-01 -2.54649973e-03 -8.60964078e-04]
 [ 2.54567484e-03  9.99996301e-01 -9.57837796e-04]
 [ 8.63400027e-04  9.55642601e-04  9.99999171e-01]]",[-0.00055048 -0.00323846  0.0003238 ],[-0.00166194 -0.0129682   0.00027122],0.9308847959710057
8 9,0.008649495,0.0146329,"[[ 9.99999701e-01  7.71851816e-04  4.53693681e-05]
 [-7.71851934e-04  9.99999702e-01  2.59216354e-06]
 [-4.53673538e-05 -2.62718120e-06  9.99999999e-01]]","[[ 9.99997574e-01  2.11473943e-03 -6.17114658e-04]
 [-2.11460213e-03  9.99997739e-01  2.23058848e-04]
 [ 6.17584974e-04 -2.21753355e-04  9.99999785e-01]]",[ 0.00021558  0.00081374 -0.00027871],[ 0.0003501  -0.00996456  0.00017378],1.0023038143415541
