view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0143545,0.0212703,"[[ 9.99999971e-01 -1.13153301e-04  2.13467742e-04]
 [ 1.13149497e-04  9.99999993e-01  1.78315255e-05]
 [-2.13469758e-04 -1.78073712e-05  9.99999977e-01]]","[[ 9.99999972e-01  4.58171663e-05 -2.30318713e-04]
 [-4.58850624e-05  9.99999955e-01 -2.94795191e-04]
 [ 2.30305196e-04  2.94805751e-04  9.99999930e-01]]",[ 1.97675702e-04 -4.97712295e-05  1.35067088e-04],[-2.07226496e-03 -1.13993964e-02  6.11023955e-05],0.9919659075859493
1 2,0.010650650000000001,0.018357,"[[ 9.99999939e-01 -3.41283717e-04  7.50439834e-05]
 [ 3.41297192e-04  9.99999926e-01 -1.79611238e-04]
 [-7.49826795e-05  1.79636839e-04  9.99999981e-01]]","[[ 9.99999972e-01 -1.46218104e-04 -1.85028079e-04]
 [ 1.45962483e-04  9.99999036e-01 -1.38078789e-03]
 [ 1.85229797e-04  1.38076084e-03  9.99999030e-01]]",[ 1.94889457e-06 -4.21565217e-04  1.24115472e-04],[-0.00108337 -0.01263943  0.00028175],0.9741112106303543
2 3,0.012344850000000001,0.0204867,"[[ 9.99998086e-01 -1.90780666e-03 -4.33752547e-04]
 [ 1.90766230e-03  9.99998125e-01 -3.32980980e-04]
 [ 4.34386997e-04  3.32152889e-04  9.99999850e-01]]","[[ 9.99999558e-01 -8.42486584e-04 -4.18057422e-04]
 [ 8.42767016e-04  9.99999420e-01  6.71075733e-04]
 [ 4.17491807e-04 -6.71427762e-04  9.99999687e-01]]",[-0.00087249 -0.00200575  0.00040669],[-0.00174439 -0.01213825  0.00103274],0.9580958841540848
3 4,0.01011245,0.0172291,"[[ 9.99998520e-01  1.65540945e-03  4.69237264e-04]
 [-1.65529962e-03  9.99998603e-01 -2.34353583e-04]
 [-4.69624559e-04  2.33576508e-04  9.99999862e-01]]","[[ 9.99997388e-01  2.28530625e-03 -3.92592328e-05]
 [-2.28532539e-03  9.99997266e-01 -4.94532267e-04]
 [ 3.81289678e-05  4.94620695e-04  9.99999877e-01]]",[ 7.62082801e-04  1.22438699e-03 -1.60010451e-05],[-0.00062979 -0.01077181  0.00010531],1.017263491748734
4 5,0.013881049999999999,0.0233896,"[[ 9.99999844e-01 -4.36301537e-04  3.49193711e-04]
 [ 4.36684678e-04  9.99999302e-01 -1.09789315e-03]
 [-3.48714455e-04  1.09804546e-03  9.99999336e-01]]","[[ 9.99999988e-01 -1.47584720e-04  3.50134747e-05]
 [ 1.47678737e-04  9.99996343e-01 -2.70056109e-03]
 [-3.46147851e-05  2.70056623e-03  9.99996353e-01]]",[ 0.00017539 -0.00144544  0.00023832],[-0.00083423 -0.01414481  0.00047867],0.9807142914455383
5 6,0.01043795,0.0185533,"[[ 9.99999929e-01  3.76723486e-04  9.51672176e-06]
 [-3.76714913e-04  9.99999537e-01 -8.85318011e-04]
 [-9.85023744e-06  8.85314363e-04  9.99999608e-01]]","[[ 9.99999519e-01  7.51729219e-04 -6.30728972e-04]
 [-7.52836744e-04  9.99998172e-01 -1.75754904e-03]
 [ 6.29406619e-04  1.75802303e-03  9.99998257e-01]]",[-1.63673820e-04 -6.40467238e-04  5.21580706e-05],[-2.04392841e-03 -1.26087914e-02  2.11307383e-05],0.9850405234085863
6 7,0.01179945,0.0206704,"[[ 9.99999961e-01  2.71694755e-04 -7.17611304e-05]
 [-2.71715960e-04  9.99999919e-01 -2.95650481e-04]
 [ 7.16807979e-05  2.95669968e-04  9.99999954e-01]]","[[ 9.99999849e-01  4.19644323e-04 -3.54648358e-04]
 [-4.20351242e-04  9.99997920e-01 -1.99557698e-03]
 [ 3.53810188e-04  1.99572576e-03  9.99997946e-01]]",[-1.08651669e-04 -7.04444192e-05  5.41405916e-05],[-0.00088874 -0.013058    0.00025834],0.9957952406173463
7 8,0.0130581,0.0212162,"[[ 9.99999358e-01  1.11561019e-03  1.97756675e-04]
 [-1.11569134e-03  9.99999293e-01  4.10712197e-04]
 [-1.97298340e-04 -4.10932569e-04  9.99999896e-01]]","[[ 9.99998936e-01  1.15091504e-03 -8.96100715e-04]
 [-1.15189933e-03  9.99998733e-01 -1.09866855e-03]
 [ 8.94835105e-04  1.09969960e-03  9.99998995e-01]]",[ 1.53224667e-04  1.34996102e-03 -5.09605872e-05],[-0.00284008 -0.01152376 -0.00038357],1.0235522751875523
8 9,0.01418225,0.0238565,"[[ 9.99999164e-01 -1.02625067e-03 -7.86902444e-04]
 [ 1.02646934e-03  9.99999435e-01  2.77533559e-04]
 [ 7.86617180e-04 -2.78341058e-04  9.99999652e-01]]","[[ 9.99998886e-01 -5.57579358e-04 -1.38450911e-03]
 [ 5.55501248e-04  9.99998719e-01 -1.50090389e-03]
 [ 1.38534421e-03  1.50013313e-03  9.99997915e-01]]",[-0.00083698 -0.00048928 -0.00033319],[-0.00194723 -0.01378535 -0.00041899],0.9964121404562426
