view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.011968050000000001,0.0190525,"[[ 9.99998780e-01 -1.27220033e-03  9.06501258e-04]
 [ 1.27252256e-03  9.99999127e-01 -3.54970579e-04]
 [-9.06048874e-04  3.56123689e-04  9.99999526e-01]]","[[ 9.99998929e-01  6.37059144e-05  1.46237120e-03]
 [-6.64947435e-05  9.99998179e-01  1.90709024e-03]
 [-1.46224704e-03 -1.90718544e-03  9.99997112e-01]]",[-8.98215528e-05 -1.43739802e-03  1.58876953e-03],[ 0.00032929 -0.01076671  0.00319757],0.9423355548414439
1 2,0.009105815,0.0160038,"[[ 9.99996197e-01  2.68130860e-03  6.44873955e-04]
 [-2.68085150e-03  9.99996155e-01 -7.08637272e-04]
 [-6.46771551e-04  7.06905766e-04  9.99999541e-01]]","[[ 0.99999054  0.00422678  0.00102403]
 [-0.00422818  0.99999013  0.00136118]
 [-0.00101826 -0.0013655   0.99999855]]",[ 0.00127394  0.00201687 -0.00033299],[ 0.00115865 -0.00857956  0.00078198],1.021981350508879
2 3,0.012496799999999999,0.0194232,"[[ 9.99998880e-01 -8.67746125e-04  1.21923271e-03]
 [ 8.68677322e-04  9.99999331e-01 -7.63434569e-04]
 [-1.21856943e-03  7.64492834e-04  9.99998965e-01]]","[[ 9.99998594e-01  7.63849895e-04  1.49262647e-03]
 [-7.66189298e-04  9.99998478e-01  1.56736378e-03]
 [-1.49142697e-03 -1.56850521e-03  9.99997658e-01]]",[-9.56998710e-05 -1.64521440e-03  2.23343173e-03],[ 0.00021745 -0.01089833  0.00358638],0.9156961007144153
3 4,0.008931465,0.0157785,"[[ 9.99992507e-01 -3.82972088e-03  5.64950217e-04]
 [ 3.82999633e-03  9.99992547e-01 -4.87298421e-04]
 [-5.63079789e-04  4.89458527e-04  9.99999722e-01]]","[[ 9.99997286e-01 -2.31845898e-03  2.29698600e-04]
 [ 2.31804811e-03  9.99995741e-01  1.77316603e-03]
 [-2.33808635e-04 -1.77262876e-03  9.99998402e-01]]",[-0.00053573 -0.00363255  0.00145494],[-0.00119279 -0.01254655  0.00197656],0.9030051414448503
4 5,0.0106501,0.0204492,"[[ 9.99992391e-01  3.89796092e-03  1.53804796e-04]
 [-3.89789874e-03  9.99992322e-01 -4.02526900e-04]
 [-1.55372649e-04  4.01924322e-04  9.99999907e-01]]","[[ 9.99986262e-01  5.23295388e-03 -3.02253511e-04]
 [-5.23272159e-03  9.99986017e-01  7.64281461e-04]
 [ 3.06248734e-04 -7.62689353e-04  9.99999662e-01]]",[ 0.00197442  0.00357705 -0.00197329],[ 0.00202696 -0.00827052 -0.00124748],1.0771570431374062
5 6,0.00961507,0.018344,"[[ 9.99997617e-01  2.11031854e-03  5.59906347e-04]
 [-2.10998350e-03  9.99997595e-01 -5.98318260e-04]
 [-5.61167642e-04  5.97135441e-04  9.99999664e-01]]","[[ 9.99993063e-01  3.69013979e-03  5.07659478e-04]
 [-3.69062679e-03  9.99992727e-01  9.61724183e-04]
 [-5.04106889e-04 -9.63591093e-04  9.99999409e-01]]",[ 0.00096656  0.0014974  -0.00015301],[ 0.00096812 -0.00933054  0.00084431],1.0086327135765438
6 7,0.012220149999999999,0.0205479,"[[ 9.99999618e-01  4.93567087e-04  7.20819148e-04]
 [-4.93195554e-04  9.99999745e-01 -5.15518130e-04]
 [-7.21073408e-04  5.15162429e-04  9.99999607e-01]]","[[ 9.99998481e-01  1.70382266e-03  3.67860353e-04]
 [-1.70420467e-03  9.99998006e-01  1.04064965e-03]
 [-3.66086537e-04 -1.04127497e-03  9.99999391e-01]]",[ 0.00048331 -0.00016334  0.00047694],[-0.00044154 -0.01040636  0.00115632],0.9659516972129125
7 8,0.010500849999999999,0.0178816,"[[ 9.99998595e-01 -1.65132064e-03  2.87989439e-04]
 [ 1.65133005e-03  9.99998636e-01 -3.24380961e-05]
 [-2.87935481e-04  3.29136161e-05  9.99999958e-01]]","[[ 9.99999742e-01 -7.17139222e-04  4.19687083e-05]
 [ 7.17071148e-04  9.99998463e-01  1.60014913e-03]
 [-4.31161735e-05 -1.60011862e-03  9.99998719e-01]]",[-0.00059744 -0.00135098  0.00092302],[-0.00075887 -0.00712319  0.00139639],0.9355814418204731
8 9,0.0116052,0.0240858,"[[ 9.99998709e-01 -1.59135114e-03  2.24134387e-04]
 [ 1.59137007e-03  9.99998730e-01 -8.42808376e-05]
 [-2.23999982e-04  8.46374095e-05  9.99999971e-01]]","[[ 9.99999297e-01 -3.33936912e-04  1.13800138e-03]
 [ 3.31761010e-04  9.99998118e-01  1.91169110e-03]
 [-1.13863762e-03 -1.91131221e-03  9.99997525e-01]]",[-0.00041976 -0.00167163  0.00097393],[-0.00064458 -0.01126789  0.00244668],0.9345282295710018
