view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006435295000000001,0.0113629,"[[ 9.99998949e-01 -7.96165440e-04  1.21160800e-03]
 [ 7.96957070e-04  9.99999469e-01 -6.53029295e-04]
 [-1.21108743e-03  6.53994208e-04  9.99999053e-01]]","[[ 9.99999861e-01  2.03543814e-04  4.87355681e-04]
 [-2.03668091e-04  9.99999947e-01  2.54966274e-04]
 [-4.87303759e-04 -2.55065498e-04  9.99999849e-01]]",[ 0.00036292 -0.001645    0.00159861],[ 0.00086892 -0.01067859  0.00175022],0.9021538703843707
1 2,0.00991537,0.0168003,"[[ 9.99998825e-01  1.02787348e-03  1.13769146e-03]
 [-1.02742534e-03  9.99999394e-01 -3.94413490e-04]
 [-1.13809618e-03  3.93244134e-04  9.99999275e-01]]","[[ 9.99999501e-01  9.98954414e-04  3.08884289e-05]
 [-9.98882392e-04  9.99996970e-01 -2.24984159e-03]
 [-3.31358246e-05  2.24980961e-03  9.99997469e-01]]",[0.00101435 0.00061725 0.0006873 ],[ 1.73998978e-03 -1.15422631e-02  5.03711597e-05],0.9891557894709996
2 3,0.00737178,0.0139333,"[[ 9.99998718e-01  1.60098680e-03  1.06636596e-05]
 [-1.60098754e-03  9.99998716e-01  7.03861225e-05]
 [-1.05509586e-05 -7.04031047e-05  9.99999997e-01]]","[[ 9.99997888e-01  1.91075986e-03 -7.57404423e-04]
 [-1.91084017e-03  9.99998169e-01 -1.05326728e-04]
 [ 7.57201782e-04  1.06773784e-04  9.99999708e-01]]",[ 0.00042512  0.00180769 -0.00066206],[ 0.00065014 -0.00888776 -0.00084461],1.0058985921238048
3 4,0.0113219,0.0179793,"[[ 9.99999623e-01 -1.70710945e-04  8.51778159e-04]
 [ 1.71097667e-04  9.99999882e-01 -4.53964890e-04]
 [-8.51700562e-04  4.54110456e-04  9.99999534e-01]]","[[ 9.99999330e-01  1.02620580e-03 -5.34946624e-04]
 [-1.02607956e-03  9.99999446e-01  2.36207937e-04]
 [ 5.35188725e-04 -2.35658881e-04  9.99999829e-01]]",[ 0.00035703 -0.00079965  0.00105817],[ 0.00127596 -0.01006155  0.00072477],0.9243074457520177
4 5,0.00957918,0.016099,"[[ 9.99994426e-01  3.23807713e-03  8.14404198e-04]
 [-3.23794643e-03  9.99994745e-01 -1.61758893e-04]
 [-8.14923706e-04  1.59120994e-04  9.99999655e-01]]","[[ 9.99994690e-01  3.25758095e-03  8.68826330e-05]
 [-3.25752302e-03  9.99994477e-01 -6.58777804e-04]
 [-8.90281752e-05  6.58491284e-04  9.99999779e-01]]",[ 0.00082161  0.00321751 -0.00057573],[ 0.00091955 -0.00815282 -0.00099368],1.0546588905953047
5 6,0.00757304,0.0133129,"[[ 9.99999034e-01 -3.74293335e-04  1.33895760e-03]
 [ 3.75131021e-04  9.99999734e-01 -6.25429300e-04]
 [-1.33872315e-03  6.25930980e-04  9.99998908e-01]]","[[ 9.99999918e-01  1.83172112e-04  3.60411234e-04]
 [-1.82861237e-04  9.99999611e-01 -8.62398400e-04]
 [-3.60569061e-04  8.62332424e-04  9.99999563e-01]]",[ 0.00080401 -0.00102162  0.00121357],[ 0.00093011 -0.01058168  0.00097862],0.9221178185785817
6 7,0.00933436,0.0162525,"[[ 9.99999229e-01 -1.07387066e-03 -6.22774841e-04]
 [ 1.07395219e-03  9.99999415e-01  1.30593846e-04]
 [ 6.22634236e-04 -1.31262575e-04  9.99999798e-01]]","[[ 9.99998415e-01 -1.17075175e-03 -1.34105205e-03]
 [ 1.17005367e-03  9.99999180e-01 -5.21213039e-04]
 [ 1.34166116e-03  5.19643111e-04  9.99998965e-01]]",[-0.00057759 -0.00090992 -0.00015913],[-0.0004943  -0.01178136 -0.00062724],0.9907819098860116
7 8,0.00955909,0.0146879,"[[ 9.99999899e-01 -3.61908846e-04  2.68298262e-04]
 [ 3.62014707e-04  9.99999857e-01 -3.94621823e-04]
 [-2.68155406e-04  3.94718911e-04  9.99999886e-01]]","[[ 9.99999796e-01  2.96307923e-04 -5.66077434e-04]
 [-2.97108302e-04  9.99998956e-01 -1.41434342e-03]
 [ 5.65657762e-04  1.41451131e-03  9.99998840e-01]]",[-6.85078746e-05 -8.69140489e-04  5.13502157e-04],[ 0.00145577 -0.01185819  0.00045057],0.9680082812484264
8 9,0.009968895,0.0174104,"[[ 9.99999050e-01  1.24933070e-03  5.83133316e-04]
 [-1.24919090e-03  9.99999191e-01 -2.40036160e-04]
 [-5.83432729e-04  2.39307487e-04  9.99999801e-01]]","[[ 9.99998630e-01  1.65207339e-03 -1.05262324e-04]
 [-1.65211586e-03  9.99998553e-01 -4.04651510e-04]
 [ 1.04593658e-04  4.04824861e-04  9.99999913e-01]]",[0.00057303 0.00100494 0.00035179],[ 0.00140616 -0.00978827  0.00023125],0.9913787645179764
