view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006433125,0.0120274,"[[ 9.99999890e-01 -3.43736320e-04  3.19427841e-04]
 [ 3.43788854e-04  9.99999927e-01 -1.64421207e-04]
 [-3.19371300e-04  1.64531005e-04  9.99999935e-01]]","[[ 9.99999531e-01  1.81037479e-04  9.51023882e-04]
 [-1.81081959e-04  9.99999983e-01  4.66854040e-05]
 [-9.51015414e-04 -4.68575954e-05  9.99999547e-01]]",[ 0.00021546 -0.00050953  0.00030762],[-0.00024598 -0.01146643  0.00116308],0.9885807867709395
1 2,0.0144282,0.0246004,"[[ 9.99999253e-01  1.09675442e-03  5.39774231e-04]
 [-1.09660843e-03  9.99999362e-01 -2.70683796e-04]
 [-5.40070761e-04  2.70091673e-04  9.99999818e-01]]","[[ 9.99997279e-01  2.30715017e-03  3.46461883e-04]
 [-2.30718160e-03  9.99997334e-01  9.03565743e-05]
 [-3.46252493e-04 -9.11556789e-05  9.99999936e-01]]",[0.00067975 0.00102787 0.00021033],[ 0.00152116 -0.01030393  0.00092098],0.9900002441385424
2 3,0.012244,0.0211138,"[[ 9.99998192e-01 -1.89791389e-03  1.14339531e-04]
 [ 1.89790540e-03  9.99998196e-01  7.43088703e-05]
 [-1.14480357e-04 -7.40917303e-05  9.99999991e-01]]","[[ 9.99998341e-01 -1.34418276e-03  1.22934795e-03]
 [ 1.34350592e-03  9.99998946e-01  5.51225950e-04]
 [-1.23008760e-03 -5.49573399e-04  9.99999092e-01]]",[ 9.73380498e-05 -1.86117091e-03  6.12948399e-04],[ 2.89182605e-05 -1.19920888e-02  1.77293772e-03],0.9559185388999984
3 4,0.01659315,0.0284012,"[[ 9.99999899e-01 -4.33660884e-04 -1.17807857e-04]
 [ 4.33619756e-04  9.99999845e-01 -3.48910479e-04]
 [ 1.17959148e-04  3.48859360e-04  9.99999932e-01]]","[[ 9.99998379e-01 -2.09534623e-04 -1.78804337e-03]
 [ 2.06107892e-04  9.99998142e-01 -1.91643913e-03]
 [ 1.78844161e-03  1.91606749e-03  9.99996565e-01]]",[-0.0003859  -0.00076844  0.00014229],[-0.00073296 -0.01301928 -0.00113985],0.9722217853922501
4 5,0.02010395,0.031624,"[[ 0.99994809 -0.00988394  0.0024729 ]
 [ 0.00986325  0.99991738  0.00824368]
 [-0.00255418 -0.00821887  0.99996296]]","[[ 0.99993331 -0.01105497  0.00334218]
 [ 0.01098837  0.9997528   0.01932844]
 [-0.00355503 -0.01929043  0.9998076 ]]",[-0.05804135 -0.03666144  0.19642181],[-0.05659053 -0.0381887   0.20633821],0.8757168203525996
5 6,0.0123388,0.0198384,"[[ 9.99999960e-01  2.14409768e-05  2.81158666e-04]
 [-2.15402712e-05  9.99999937e-01  3.53163136e-04]
 [-2.81151076e-04 -3.53169179e-04  9.99999898e-01]]","[[ 9.99999798e-01  5.18516482e-04 -3.66364316e-04]
 [-5.18678937e-04  9.99999767e-01 -4.43468900e-04]
 [ 3.66134285e-04  4.43658836e-04  9.99999835e-01]]",[0.00030798 0.00044181 0.00020465],[-7.50852498e-04 -1.13486305e-02 -3.00462393e-05],0.9937107052619677
6 7,0.010332049999999999,0.0177598,"[[ 9.99999465e-01  1.02990904e-03 -9.82281262e-05]
 [-1.03002944e-03  9.99998709e-01 -1.23366693e-03]
 [ 9.69574346e-05  1.23376745e-03  9.99999234e-01]]","[[ 9.99999650e-01 -6.04649642e-04  5.78841093e-04]
 [ 5.98817864e-04  9.99949593e-01  1.00226276e-02]
 [-5.84872094e-04 -1.00222775e-02  9.99949605e-01]]",[ 0.01409245  0.00560383 -0.04136983],[ 0.01685355  0.00392408 -0.02841497],1.0914767573386064
7 8,0.00691064,0.0124596,"[[ 9.99999683e-01 -2.93375144e-04  7.40421820e-04]
 [ 2.93579613e-04  9.99999919e-01 -2.76057289e-04]
 [-7.40340772e-04  2.76274575e-04  9.99999688e-01]]","[[ 9.99999056e-01  9.43197486e-04  9.99273196e-04]
 [-9.43596733e-04  9.99999475e-01  3.99141736e-04]
 [-9.98896202e-04 -4.00084270e-04  9.99999421e-01]]",[ 0.00035092 -0.0006111   0.00083315],[ 0.00033728 -0.01076072  0.00181278],0.958088363348143
8 9,0.012533800000000001,0.0195969,"[[ 9.99999534e-01 -9.23874125e-04  2.78967980e-04]
 [ 9.23910454e-04  9.99999565e-01 -1.30124058e-04]
 [-2.78847641e-04  1.30381739e-04  9.99999953e-01]]","[[ 9.99999128e-01  1.57378052e-04  1.31147226e-03]
 [-1.58575421e-04  9.99999571e-01  9.12942011e-04]
 [-1.31132802e-03 -9.13149182e-04  9.99998723e-01]]",[-1.54789951e-05 -1.18794301e-03  5.79889154e-04],[ 0.00046425 -0.01141392  0.00232498],0.9652611810277226
