variance,percentage,fxy,cxy,reward,done
0.3,0.3,-0.06,-0.05,0.0287,False
0.3,0.3,-0.06,0.0,0.0312,False
0.3,0.3,-0.06,0.05,0.0338,False
0.3,0.3,-0.05,-0.1,0.0211,False
0.3,0.3,-0.05,-0.05,0.0234,False
0.3,0.3,-0.05,0.0,0.0261,False
0.3,0.3,-0.04,-0.1,0.0163,False
0.3,0.3,-0.04,-0.05,0.0189,False
0.3,0.3,-0.04,0.0,0.0207,False
0.3,0.3,0.03,-0.4,0.0397,False
0.3,0.3,0.04,-0.4,0.0435,False
0.3,0.3,0.06,-0.35,0.0475,False
0.3,0.35,-0.07,-0.1,0.031,False
0.3,0.35,-0.06,-0.15,0.0233,False
0.3,0.35,-0.05,0.0,0.0261,False
0.3,0.35,-0.04,-0.1,0.0163,False
0.3,0.35,0.0,-0.2,0.0143,False
0.3,0.35,0.01,-0.25,0.0213,False
0.3,0.35,0.01,-0.2,0.018,False
0.3,0.35,0.02,-0.25,0.0253,False
0.3,0.4,-0.07,-0.15,0.0284,False
0.3,0.4,-0.07,-0.1,0.031,False
0.3,0.4,-0.06,-0.15,0.0233,False
0.3,0.4,-0.06,-0.1,0.0259,False
0.3,0.4,-0.06,-0.05,0.0287,False
0.3,0.4,-0.05,-0.15,0.0188,False
0.3,0.4,-0.05,-0.1,0.0211,False
0.3,0.4,-0.05,-0.05,0.0234,False
0.3,0.4,-0.05,0.0,0.0261,False
0.3,0.4,-0.04,-0.1,0.0163,False
0.3,0.4,0.0,-0.2,0.0143,False
0.3,0.45,-0.07,-0.05,0.0345,False
0.3,0.45,-0.06,-0.05,0.0287,False
0.3,0.45,-0.04,-0.05,0.0189,False
0.3,0.5,-0.06,0.05,0.0338,False
0.3,0.5,-0.05,0.0,0.0261,False
0.3,0.5,-0.05,0.05,0.0286,False
0.3,0.5,-0.04,-0.15,0.014,False
0.3,0.5,-0.04,-0.1,0.0163,False
0.3,0.5,-0.04,-0.05,0.0189,False
0.3,0.5,-0.04,0.0,0.0207,False
0.3,0.5,-0.04,0.05,0.023,False
0.3,0.5,-0.03,-0.15,0.0105,False
0.3,0.5,-0.03,-0.1,0.0126,False
0.3,0.5,-0.03,-0.05,0.0156,False
0.3,0.55,-0.06,-0.05,0.0287,False
0.3,0.55,-0.06,0.0,0.0312,False
0.3,0.55,-0.05,0.0,0.0261,False
0.3,0.55,-0.03,-0.1,0.0126,False
0.3,0.6,-0.06,-0.05,0.0287,False
0.3,0.6,-0.06,0.0,0.0312,False
0.3,0.6,-0.05,0.0,0.0261,False
0.3,0.65,-0.05,0.0,0.0261,False
0.3,0.7,-0.05,0.15,0.0333,False
0.3,0.7,-0.05,0.2,0.0358,False
0.3,0.7,-0.04,0.2,0.0304,False
0.3,0.75,-0.05,0.15,0.0333,False
0.3,0.75,-0.04,0.15,0.028,False
0.3,0.75,-0.04,0.2,0.0304,False
0.4,0.0,-0.05,-0.15,0.0188,False
0.4,0.0,-0.04,-0.15,0.014,False
0.4,0.0,-0.03,-0.2,0.0098,False
0.4,0.0,-0.03,-0.15,0.0105,False
0.4,0.0,-0.02,-0.2,0.0093,False
0.4,0.0,-0.02,-0.15,0.0081,False
0.4,0.0,-0.02,-0.1,0.0089,False
0.4,0.0,-0.02,-0.05,0.012,False
0.4,0.0,-0.02,0.0,0.012,False
0.4,0.0,-0.02,0.05,0.0141,False
0.4,0.0,-0.02,0.1,0.0162,False
