view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0064423499999999995,0.0113651,"[[ 9.99998974e-01 -7.70192842e-04  1.20770291e-03]
 [ 7.70917527e-04  9.99999523e-01 -5.99702149e-04]
 [-1.20724044e-03  6.00632573e-04  9.99999091e-01]]","[[ 9.99999828e-01  2.81811287e-04  5.15336567e-04]
 [-2.81953029e-04  9.99999922e-01  2.74996734e-04]
 [-5.15259030e-04 -2.75141988e-04  9.99999829e-01]]",[ 0.00022931 -0.00169332  0.00164222],[ 0.00077766 -0.01111232  0.00175206],0.8913533684518803
1 2,0.009926235,0.0167962,"[[ 9.99998908e-01  1.01753173e-03  1.07207093e-03]
 [-1.01708964e-03  9.99999398e-01 -4.12835288e-04]
 [-1.07249035e-03  4.11744445e-04  9.99999340e-01]]","[[ 9.99999602e-01  8.91662301e-04  8.00984855e-06]
 [-8.91642511e-04  9.99997180e-01 -2.20101658e-03]
 [-9.97238947e-06  2.20100857e-03  9.99997578e-01]]",[0.0008941  0.0007514  0.00075097],[ 1.78327110e-03 -1.17880661e-02 -6.89460913e-05],0.9879852545757066
2 3,0.007387685,0.0139307,"[[ 9.99998816e-01  1.53790350e-03 -4.53412356e-05]
 [-1.53790192e-03  9.99998817e-01  3.48666864e-05]
 [ 4.53948036e-05 -3.47969148e-05  9.99999998e-01]]","[[ 9.99997999e-01  1.84219535e-03 -7.80525764e-04]
 [-1.84229691e-03  9.99998295e-01 -1.29424221e-04]
 [ 7.80286008e-04  1.30861922e-04  9.99999687e-01]]",[ 0.00041227  0.00197823 -0.00065364],[ 0.00071714 -0.00922624 -0.00092472],1.0090218700584321
3 4,0.0113763,0.0180072,"[[ 9.99999643e-01 -1.66263312e-04  8.29052913e-04]
 [ 1.66627942e-04  9.99999889e-01 -4.39764935e-04]
 [-8.28979705e-04  4.39902921e-04  9.99999560e-01]]","[[ 9.99999296e-01  1.08015592e-03 -4.91289339e-04]
 [-1.08004102e-03  9.99999389e-01  2.34069747e-04]
 [ 4.91541870e-04 -2.33538969e-04  9.99999852e-01]]",[ 0.00027207 -0.00081978  0.00108171],[ 0.00133951 -0.01047683  0.00063642],0.9174293906378153
4 5,0.0231694,0.0343874,"[[ 9.99979790e-01 -6.35347266e-03 -2.30434865e-04]
 [ 6.35443855e-03  9.99969838e-01  4.46592481e-03]
 [ 2.02053783e-04 -4.46729884e-03  9.99990001e-01]]","[[ 9.99966516e-01 -8.17953592e-03 -2.48499648e-04]
 [ 8.18239052e-03  9.99848238e-01  1.53801734e-02]
 [ 1.22659255e-04 -1.53816917e-02  9.99881687e-01]]",[-0.02518816 -0.0262507   0.07992676],[-0.0234678  -0.02680128  0.08981135],0.8325397532988428
5 6,0.007580150000000001,0.0133016,"[[ 9.99999091e-01 -3.38513839e-04  1.30521985e-03]
 [ 3.39301020e-04  9.99999761e-01 -6.02927968e-04]
 [-1.30501544e-03  6.03370282e-04  9.99998966e-01]]","[[ 9.99999911e-01  2.07739969e-04  3.68287879e-04]
 [-2.07433423e-04  9.99999632e-01 -8.32197146e-04]
 [-3.68460624e-04  8.32120677e-04  9.99999586e-01]]",[ 0.00068856 -0.00099909  0.00125282],[ 0.0008975  -0.01088054  0.00091507],0.9132732219377266
6 7,0.009342055,0.0162696,"[[ 9.99998237e-01 -1.80195352e-03 -5.28835192e-04]
 [ 1.80182635e-03  9.99998348e-01 -2.40844049e-04]
 [ 5.29268308e-04  2.39890755e-04  9.99999831e-01]]","[[ 9.99997393e-01 -1.93143093e-03 -1.21830209e-03]
 [ 1.93037508e-03  9.99997761e-01 -8.67237169e-04]
 [ 1.21997437e-03  8.64883128e-04  9.99998882e-01]]",[-6.39205929e-04 -2.14097005e-03 -8.36200645e-05],[-0.00047973 -0.01282552 -0.00061368],0.9357434419712342
7 8,0.00958298,0.0147091,"[[ 9.99999885e-01 -3.79969288e-04  2.93940666e-04]
 [ 3.80073935e-04  9.99999864e-01 -3.56040847e-04]
 [-2.93805342e-04  3.56152525e-04  9.99999893e-01]]","[[ 9.99999851e-01  2.26619216e-04 -4.95649139e-04]
 [-2.27283244e-04  9.99999076e-01 -1.34006867e-03]
 [ 4.95344996e-04  1.34018112e-03  9.99998979e-01]]",[-0.00010454 -0.00091602  0.00053728],[ 0.00155473 -0.01227722  0.00035161],0.9627292234615994
8 9,0.00998031,0.0174173,"[[ 9.99999142e-01  1.19432819e-03  5.38992606e-04]
 [-1.19419667e-03  9.99999257e-01 -2.44268342e-04]
 [-5.39283942e-04  2.43624469e-04  9.99999825e-01]]","[[ 9.99998727e-01  1.59163411e-03 -1.15863896e-04]
 [-1.59168065e-03  9.99998652e-01 -4.02651655e-04]
 [ 1.15222866e-04  4.02835561e-04  9.99999912e-01]]",[0.00047162 0.00113515 0.00039151],[ 0.00140692 -0.01017087  0.00019329],0.9920003037543911
