view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006476535,0.0120599,"[[ 9.99999865e-01 -4.22560248e-04  3.01303742e-04]
 [ 4.22598901e-04  9.99999902e-01 -1.28233720e-04]
 [-3.01249526e-04  1.28361034e-04  9.99999946e-01]]","[[ 9.99999563e-01  7.46622290e-05  9.31860044e-04]
 [-7.47184499e-05  9.99999995e-01  6.02972965e-05]
 [-9.31855538e-04 -6.03668973e-05  9.99999564e-01]]",[ 0.00022769 -0.0004895   0.00025235],[-0.00015663 -0.01180864  0.00095315],0.9925898166250299
1 2,0.014476,0.024583,"[[ 9.99999379e-01  9.57798563e-04  5.68980846e-04]
 [-9.57684026e-04  9.99999521e-01 -2.01540270e-04]
 [-5.69173608e-04  2.00995241e-04  9.99999818e-01]]","[[ 9.99997692e-01  2.11725643e-03  3.66078194e-04]
 [-2.11730282e-03  9.99997751e-01  1.26381567e-04]
 [-3.65809788e-04 -1.27156374e-04  9.99999925e-01]]",[0.00075986 0.00073257 0.00022748],[ 0.00176249 -0.01087712  0.00093645],0.9903311873543481
2 3,0.0121877,0.0211357,"[[ 9.99997929e-01 -2.03533537e-03 -1.31305880e-05]
 [ 2.03533670e-03  9.99997923e-01  1.02676669e-04]
 [ 1.29215793e-05 -1.02703181e-04  9.99999995e-01]]","[[ 9.99998192e-01 -1.53960129e-03  1.11625372e-03]
 [ 1.53900961e-03  9.99998675e-01  5.30726142e-04]
 [-1.11706934e-03 -5.29007257e-04  9.99999236e-01]]",[ 9.32598071e-05 -1.61478121e-03  5.69155437e-04],[ 0.00013819 -0.01218204  0.00146277],0.9708647473340016
3 4,0.016371999999999998,0.0284091,"[[ 9.99999939e-01 -3.24139302e-04 -1.31292411e-04]
 [ 3.24091729e-04  9.99999882e-01 -3.62201046e-04]
 [ 1.31409799e-04  3.62158473e-04  9.99999926e-01]]","[[ 9.99998377e-01  6.87545584e-05 -1.80013225e-03]
 [-7.22292887e-05  9.99998134e-01 -1.93027006e-03]
 [ 1.79999617e-03  1.93039695e-03  9.99996517e-01]]",[-0.00030831 -0.00061211  0.0001335 ],[-0.00069492 -0.01333691 -0.00071753],0.9806802727455033
4 5,0.01360975,0.0227351,"[[ 9.99997172e-01  2.23533989e-03  8.11559586e-04]
 [-2.23484236e-03  9.99997315e-01 -6.13445418e-04]
 [-8.12928665e-04  6.11629975e-04  9.99999483e-01]]","[[ 9.99994845e-01  3.00021369e-03  1.14362907e-03]
 [-2.99952073e-03  9.99995317e-01 -6.07161269e-04]
 [-1.14544533e-03  6.03727801e-04  9.99999162e-01]]",[0.00102651 0.00146949 0.00017956],[ 0.00151964 -0.01056     0.00087653],1.0285979523334277
5 6,0.01228215,0.0198794,"[[ 9.99999933e-01 -1.93603476e-04  3.10922229e-04]
 [ 1.93474760e-04  9.99999896e-01  4.13956982e-04]
 [-3.11002340e-04 -4.13896798e-04  9.99999866e-01]]","[[ 9.99999864e-01  3.89348655e-04 -3.45841060e-04]
 [-3.89470635e-04  9.99999862e-01 -3.52708752e-04]
 [ 3.45703686e-04  3.52843400e-04  9.99999878e-01]]",[0.00031021 0.00031113 0.00023077],[-0.0007439  -0.01179422  0.00016862],0.9905425273640595
6 7,0.0112666,0.0171146,"[[ 9.99999955e-01  9.07790663e-05  2.85376974e-04]
 [-9.06878698e-05  9.99999945e-01 -3.19561637e-04]
 [-2.85405968e-04  3.19535742e-04  9.99999908e-01]]","[[ 9.99998518e-01  1.44758688e-03  9.31678906e-04]
 [-1.44859987e-03  9.99998359e-01  1.08752639e-03]
 [-9.30103088e-04 -1.08887441e-03  9.99998975e-01]]",[ 0.00013203 -0.00024904  0.00036892],[ 0.0012016  -0.01076192  0.00189167],0.9893745486262644
7 8,0.006947435,0.0124846,"[[ 9.99999662e-01 -4.12437642e-04  7.10890516e-04]
 [ 4.12622190e-04  9.99999881e-01 -2.59474033e-04]
 [-7.10783415e-04  2.59767274e-04  9.99999714e-01]]","[[ 9.99999232e-01  7.49518911e-04  9.87457024e-04]
 [-7.49904597e-04  9.99999643e-01  3.90273074e-04]
 [-9.87164154e-04 -3.91013272e-04  9.99999436e-01]]",[ 0.00042012 -0.00061495  0.00071737],[ 0.00058767 -0.01117197  0.00160393],0.9702699304347878
8 9,0.01250425,0.0197112,"[[ 9.99999647e-01 -8.11202503e-04  2.21162625e-04]
 [ 8.11236335e-04  9.99999659e-01 -1.52927736e-04]
 [-2.21038495e-04  1.53107097e-04  9.99999964e-01]]","[[ 9.99999198e-01  1.44192302e-04  1.25816717e-03]
 [-1.45139960e-04  9.99999706e-01  7.53146347e-04]
 [-1.25805821e-03 -7.53328353e-04  9.99998925e-01]]",[ 3.69323389e-05 -9.03658914e-04  4.01950941e-04],[ 0.00074051 -0.01163236  0.00179822],0.9807307341321442
