view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006442440000000001,0.0113562,"[[ 9.99998970e-01 -7.85287190e-04  1.20160820e-03]
 [ 7.86053322e-04  9.99999488e-01 -6.37249879e-04]
 [-1.20110716e-03  6.38193751e-04  9.99999075e-01]]","[[ 9.99999861e-01  2.16051528e-04  4.81140434e-04]
 [-2.16173986e-04  9.99999944e-01  2.54478682e-04]
 [-4.81085427e-04 -2.54582657e-04  9.99999852e-01]]",[ 0.00034748 -0.00162932  0.00158336],[ 0.00088116 -0.01087187  0.00173247],0.9041163352072207
1 2,0.00993562,0.0167997,"[[ 9.99998836e-01  1.03687666e-03  1.11930151e-03]
 [-1.03643047e-03  9.99999383e-01 -3.99144195e-04]
 [-1.11971469e-03  3.97983652e-04  9.99999294e-01]]","[[ 9.99999494e-01  1.00609314e-03  1.77362692e-05]
 [-1.00605115e-03  9.99997014e-01 -2.22701927e-03]
 [-1.99768050e-05  2.22700030e-03  9.99997520e-01]]",[0.00099556 0.00064161 0.00068174],[ 1.76418603e-03 -1.16863190e-02  3.56604940e-05],0.9893456852027718
2 3,0.0073720999999999995,0.0139149,"[[ 9.99998739e-01  1.58788336e-03  9.25287146e-06]
 [-1.58788392e-03  9.99998737e-01  6.06040434e-05]
 [-9.15662763e-06 -6.06186594e-05  9.99999998e-01]]","[[ 9.99997915e-01  1.89679430e-03 -7.56859168e-04]
 [-1.89688310e-03  9.99998194e-01 -1.16625257e-04]
 [ 7.56636587e-04  1.18060688e-04  9.99999707e-01]]",[ 0.00042223  0.00180976 -0.00064463],[ 0.00067013 -0.00907384 -0.00083463],1.0051525663761098
3 4,0.0113571,0.0179852,"[[ 9.99999630e-01 -1.58458494e-04  8.45866286e-04]
 [ 1.58837194e-04  9.99999887e-01 -4.47658148e-04]
 [-8.45795255e-04  4.47792338e-04  9.99999542e-01]]","[[ 9.99999318e-01  1.03889804e-03 -5.33361649e-04]
 [-1.03877750e-03  9.99999435e-01  2.26228252e-04]
 [ 5.33596376e-04 -2.25674054e-04  9.99999832e-01]]",[ 0.00035444 -0.00077953  0.00104092],[ 0.00132676 -0.01024616  0.00070315],0.9261972626282386
4 5,0.00956291,0.0160871,"[[ 9.99994594e-01  3.19026585e-03  7.95897071e-04]
 [-3.19012775e-03  9.99994896e-01 -1.74727653e-04]
 [-7.96450436e-04  1.72187695e-04  9.99999668e-01]]","[[ 9.99994844e-01  3.21051564e-03  7.22855575e-05]
 [-3.21046691e-03  9.99994626e-01 -6.64323194e-04]
 [-7.44179890e-05  6.64087698e-04  9.99999777e-01]]",[ 0.00080153  0.00320986 -0.00055445],[ 0.00092073 -0.00834115 -0.00097678],1.0532595597601637
5 6,0.007570735,0.0132873,"[[ 9.99999056e-01 -3.62036495e-04  1.32581399e-03]
 [ 3.62848335e-04  9.99999747e-01 -6.12143884e-04]
 [-1.32559203e-03  6.12624375e-04  9.99998934e-01]]","[[ 9.99999920e-01  1.94880726e-04  3.50724813e-04]
 [-1.94582247e-04  9.99999619e-01 -8.50869429e-04]
 [-3.50890497e-04  8.50801115e-04  9.99999577e-01]]",[ 0.00078525 -0.00100162  0.00120711],[ 0.00093669 -0.01074388  0.00096547],0.923075281301617
6 7,0.00932796,0.0162536,"[[ 9.99999260e-01 -1.05581398e-03 -6.03877896e-04]
 [ 1.05589513e-03  9.99999434e-01  1.34084856e-04]
 [ 6.03735985e-04 -1.34722389e-04  9.99999809e-01]]","[[ 9.99998470e-01 -1.15226716e-03 -1.31599442e-03]
 [ 1.15159931e-03  9.99999208e-01 -5.08130356e-04]
 [ 1.31657888e-03  5.06614080e-04  9.99999005e-01]]",[-0.00055886 -0.00090919 -0.00015728],[-0.00045289 -0.01196736 -0.00062867],0.9911010632757674
7 8,0.009577405,0.0146922,"[[ 9.99999900e-01 -3.53897576e-04  2.72564761e-04]
 [ 3.54002386e-04  9.99999863e-01 -3.84578290e-04]
 [-2.72428623e-04  3.84674740e-04  9.99999889e-01]]","[[ 9.99999798e-01  3.04069260e-04 -5.58298104e-04]
 [-3.04843975e-04  9.99998990e-01 -1.38807633e-03]
 [ 5.57875469e-04  1.38824624e-03  9.99998881e-01]]",[-6.81691956e-05 -8.56462569e-04  5.13086650e-04],[ 0.00150593 -0.0120158   0.00044665],0.9685361266164366
8 9,0.00998533,0.0174143,"[[ 9.99999072e-01  1.23599800e-03  5.73052330e-04]
 [-1.23585976e-03  9.99999207e-01 -2.41519594e-04]
 [-5.73350393e-04  2.40811157e-04  9.99999807e-01]]","[[ 9.99998652e-01  1.63861123e-03 -1.09307645e-04]
 [-1.63865553e-03  9.99998575e-01 -4.06419842e-04]
 [ 1.08641525e-04  4.06598411e-04  9.99999911e-01]]",[0.00056173 0.00101261 0.00035192],[ 0.00143072 -0.00997452  0.00023   ],0.9913994019218719
