view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00646066,0.0113044,"[[ 9.99999044e-01 -8.68064389e-04  1.07619003e-03]
 [ 8.68810380e-04  9.99999383e-01 -6.92904658e-04]
 [-1.07558788e-03  6.93839001e-04  9.99999181e-01]]","[[ 9.99999958e-01 -1.62922903e-05  2.89001622e-04]
 [ 1.62392765e-05  9.99999983e-01  1.83439111e-04]
 [-2.89004606e-04 -1.83434410e-04  9.99999941e-01]]",[ 0.00066174 -0.00138047  0.0011504 ],[ 0.00126585 -0.01087216  0.00143213],0.9429580347187579
1 2,0.01000595,0.016809,"[[ 9.99998917e-01  8.92457248e-04  1.17005129e-03]
 [-8.92156358e-04  9.99999569e-01 -2.57656035e-04]
 [-1.17028074e-03  2.56611887e-04  9.99999282e-01]]","[[ 9.99999341e-01  1.14779197e-03 -2.76926333e-05]
 [-1.14784715e-03  9.99997172e-01 -2.08265206e-03]
 [ 2.53021037e-05  2.08268247e-03  9.99997831e-01]]",[0.00116725 0.00039008 0.00055132],[ 0.00181105 -0.01195377  0.00043168],0.9929937268454917
2 3,0.007332665,0.013804,"[[ 9.99998882e-01  1.48399586e-03  1.84116199e-04]
 [-1.48403837e-03  9.99998872e-01  2.30944623e-04]
 [-1.83773270e-04 -2.31217600e-04  9.99999956e-01]]","[[ 9.99998136e-01  1.81401537e-03 -6.61156591e-04]
 [-1.81400238e-03  9.99998354e-01  2.02466989e-05]
 [ 6.61192231e-04 -1.90473215e-05  9.99999781e-01]]",[ 0.00039299  0.0013315  -0.00036292],[ 0.0005936  -0.00942737 -0.00030708],0.9968475780122534
3 4,0.01139385,0.0179296,"[[ 9.99999616e-01 -1.65565064e-04  8.61099965e-04]
 [ 1.65940329e-04  9.99999891e-01 -4.35744100e-04]
 [-8.61027728e-04  4.35886824e-04  9.99999534e-01]]","[[ 9.99999382e-01  8.93498681e-04 -6.61773350e-04]
 [-8.93377109e-04  9.99999584e-01  1.83979372e-04]
 [ 6.61937460e-04 -1.83388045e-04  9.99999764e-01]]",[ 0.00056433 -0.00063218  0.00081672],[ 0.0014925  -0.01027657  0.00084209],0.9526714726393236
4 5,0.009482250000000001,0.016005,"[[ 9.99996172e-01  2.52780777e-03  1.12501243e-03]
 [-2.52807728e-03  9.99996776e-01  2.38204625e-04]
 [-1.12440667e-03 -2.41047832e-04  9.99999339e-01]]","[[ 9.99996489e-01  2.62662411e-03  3.50252502e-04]
 [-2.62653127e-03  9.99996515e-01 -2.65279563e-04]
 [-3.50948071e-04  2.64358683e-04  9.99999903e-01]]",[ 8.78443791e-04  2.07638487e-03 -1.91172502e-05],[ 0.00091142 -0.0091188  -0.00015225],1.0226626072866523
5 6,0.00753504,0.0131597,"[[ 9.99999048e-01 -5.39663578e-04  1.26993882e-03]
 [ 5.40390296e-04  9.99999690e-01 -5.71973456e-04]
 [-1.26962975e-03  5.72659174e-04  9.99999030e-01]]","[[ 9.99999979e-01  5.47483484e-05  1.97719815e-04]
 [-5.45838918e-05  9.99999653e-01 -8.31675448e-04]
 [-1.97765279e-04  8.31664638e-04  9.99999635e-01]]",[ 0.00101998 -0.00093199  0.00089931],[ 0.00113345 -0.01092162  0.00096703],0.9506032219077492
6 7,0.00926692,0.0162056,"[[ 9.99998784e-01 -1.37993365e-03 -7.25830409e-04]
 [ 1.37952944e-03  9.99998893e-01 -5.57099328e-04]
 [ 7.26598366e-04  5.56097346e-04  9.99999581e-01]]","[[ 0.99999796 -0.00137342 -0.0014798 ]
 [ 0.00137164  0.99999833 -0.00120391]
 [ 0.00148145  0.00120188  0.99999818]]",[-0.00058566 -0.00151711 -0.00018674],[-0.00056744 -0.01228924 -0.00035892],0.9682222448843467
7 8,0.009606175,0.0146481,"[[ 9.99999960e-01 -2.07587934e-04  1.89850667e-04]
 [ 2.07673084e-04  9.99999878e-01 -4.48601229e-04]
 [-1.89757520e-04  4.48640638e-04  9.99999881e-01]]","[[ 9.99999534e-01  6.01940110e-04 -7.55180420e-04]
 [-6.03028944e-04  9.99998778e-01 -1.44242223e-03]
 [ 7.54311245e-04  1.44287695e-03  9.99998675e-01]]",[ 6.60777378e-05 -6.50141883e-04  2.97791915e-04],[ 0.00162627 -0.01185362  0.00061515],0.9851375796718302
8 9,0.0100307,0.0174167,"[[ 9.99999195e-01  1.10907589e-03  6.16020741e-04]
 [-1.10900346e-03  9.99999378e-01 -1.17901470e-04]
 [-6.16151120e-04  1.17218206e-04  9.99999803e-01]]","[[ 9.99998821e-01  1.53046017e-03 -1.25237180e-04]
 [-1.53049731e-03  9.99998785e-01 -2.97036055e-04]
 [ 1.24782425e-04  2.97227380e-04  9.99999948e-01]]",[0.00073585 0.00068178 0.00030753],[ 0.00157791 -0.01015363  0.00042509],0.9909476221589509
