view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00940202,0.0156615,"[[ 9.99998935e-01 -1.45888302e-03 -3.82827509e-05]
 [ 1.45888724e-03  9.99998930e-01  1.10454584e-04]
 [ 3.81215696e-05 -1.10510317e-04  9.99999993e-01]]","[[ 9.99999851e-01 -8.73976056e-05  5.38513498e-04]
 [ 8.68188297e-05  9.99999419e-01  1.07469537e-03]
 [-5.38607111e-04 -1.07464846e-03  9.99999278e-01]]",[-0.00036786 -0.00116798  0.00068286],[-0.00024869 -0.01042602  0.00239499],0.9591984980105884
1 2,0.0113976,0.0214726,"[[ 9.99999922e-01  2.25646235e-05 -3.95360802e-04]
 [-2.24087432e-05  9.99999922e-01  3.94273585e-04]
 [ 3.95369668e-04 -3.94264695e-04  9.99999844e-01]]","[[ 9.99999500e-01  8.98645630e-04 -4.38438762e-04]
 [-8.98655384e-04  9.99999596e-01 -2.20517883e-05]
 [ 4.38418769e-04  2.24457827e-05  9.99999904e-01]]",[-0.0001048   0.00048633 -0.00061911],[-4.42406820e-05 -1.06237284e-02  2.70455374e-04],1.0285955931623822
2 3,0.01175775,0.0169839,"[[ 9.99996304e-01  2.33867358e-03  1.38633247e-03]
 [-2.33746866e-03  9.99996890e-01 -8.70126567e-04]
 [-1.38836310e-03  8.66882842e-04  9.99998660e-01]]","[[ 9.99992408e-01  3.85797119e-03 -5.47246167e-04]
 [-3.85831325e-03  9.99992361e-01 -6.25401904e-04]
 [ 5.44829204e-04  6.27508603e-04  9.99999655e-01]]",[0.00108041 0.000783   0.00050429],[-0.00069884 -0.00897253 -0.00042441],0.9869206687945304
3 4,0.0148352,0.0234928,"[[ 9.99999346e-01 -1.02630792e-03 -5.05657706e-04]
 [ 1.02640523e-03  9.99999455e-01  1.92224903e-04]
 [ 5.05460148e-04 -1.92743787e-04  9.99999854e-01]]","[[ 9.99999763e-01 -7.12537840e-05 -6.84986427e-04]
 [ 7.13963463e-05  9.99999976e-01  2.08102146e-04]
 [ 6.84971582e-04 -2.08151002e-04  9.99999744e-01]]",[-0.0005268  -0.000596   -0.00027244],[ 0.00010533 -0.01083866  0.00073439],0.9957100043915114
4 5,0.0138201,0.0217342,"[[ 9.99995431e-01 -3.02278734e-03  2.04829153e-05]
 [ 3.02279448e-03  9.99995367e-01 -3.57786265e-04]
 [-1.94013086e-05  3.57846546e-04  9.99999936e-01]]","[[ 9.99998668e-01 -1.62577082e-03  1.47836481e-04]
 [ 1.62565529e-03  9.99998376e-01  7.78310021e-04]
 [-1.49101595e-04 -7.78068653e-04  9.99999686e-01]]",[-0.00033283 -0.00288212  0.00120121],[ 9.15823670e-05 -1.14585227e-02  2.78104243e-03],0.9265612271392957
5 6,0.0100312,0.0170494,"[[ 9.99999878e-01 -4.88587982e-04 -7.31706886e-05]
 [ 4.88587007e-04  9.99999881e-01 -1.33400187e-05]
 [ 7.31771977e-05  1.33042669e-05  9.99999997e-01]]","[[ 9.99999683e-01  7.79063887e-04 -1.62920895e-04]
 [-7.79082339e-04  9.99999690e-01 -1.13221194e-04]
 [ 1.62832638e-04  1.13348087e-04  9.99999980e-01]]",[-1.22409276e-04 -4.26273459e-04  4.63053848e-05],[ 0.00058244 -0.01096858  0.00127408],0.9838797943372237
6 7,0.0089111,0.0169155,"[[ 9.99995466e-01 -2.97881376e-03 -4.40695826e-04]
 [ 2.97885806e-03  9.99995558e-01  9.99043030e-05]
 [ 4.40396273e-04 -1.01216620e-04  9.99999898e-01]]","[[ 9.99998927e-01 -1.18248121e-03 -8.64206178e-04]
 [ 1.18267052e-03  9.99999277e-01  2.18584122e-04]
 [ 8.63947081e-04 -2.19605959e-04  9.99999603e-01]]",[-0.00090556 -0.00242605  0.00095302],[-0.00101961 -0.01237384  0.0018137 ],0.9169983767587444
7 8,0.0130571,0.0217367,"[[ 9.99995356e-01 -3.03646692e-03 -2.61110430e-04]
 [ 3.03624548e-03  9.99995034e-01 -8.44353615e-04]
 [ 2.63672985e-04  8.43556898e-04  9.99999609e-01]]","[[ 9.99996284e-01 -2.55936657e-03 -9.39434926e-04]
 [ 2.55835840e-03  9.99996152e-01 -1.07280232e-03]
 [ 9.42177006e-04  1.07039492e-03  9.99998983e-01]]",[-0.00058448 -0.00306406  0.00032527],[-0.00170088 -0.01264095  0.00033712],0.9400448017301581
8 9,0.00865989,0.0146406,"[[ 9.99999667e-01  8.13595406e-04  5.84331923e-05]
 [-8.13596623e-04  9.99999669e-01  2.08107822e-05]
 [-5.84162414e-05 -2.08583164e-05  9.99999998e-01]]","[[ 9.99997497e-01  2.14412887e-03 -6.39319528e-04]
 [-2.14397184e-03  9.99997671e-01  2.46196460e-04]
 [ 6.39845916e-04 -2.44825161e-04  9.99999765e-01]]",[ 0.00023279  0.00075354 -0.00027371],[ 0.00037857 -0.00972561  0.00023371],1.0025959281796717
