view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.009374505,0.0158011,"[[ 9.99999184e-01 -1.27767341e-03  8.44538547e-07]
 [ 1.27767327e-03  9.99999173e-01  1.47701532e-04]
 [-1.03325217e-06 -1.47700332e-04  9.99999989e-01]]","[[ 9.99999863e-01  1.23121199e-04  5.09554314e-04]
 [-1.23631489e-04  9.99999491e-01  1.00153361e-03]
 [-5.09430744e-04 -1.00159647e-03  9.99999369e-01]]",[-0.00034763 -0.00118375  0.00067669],[-0.00044181 -0.01104767  0.00241624],0.9598602282719667
1 2,0.01136105,0.0214785,"[[ 9.99999919e-01  4.08459601e-05 -3.99393121e-04]
 [-4.06982688e-05  9.99999931e-01  3.69790232e-04]
 [ 3.99408198e-04 -3.69773947e-04  9.99999852e-01]]","[[ 9.99999503e-01  8.94832993e-04 -4.39780117e-04]
 [-8.94848354e-04  9.99999599e-01 -3.47322834e-05]
 [ 4.39748861e-04  3.51258027e-05  9.99999903e-01]]",[-3.83748843e-05  5.04254471e-04 -6.48785459e-04],[-4.41420961e-05 -1.11157543e-02  2.22926366e-04],1.0301225454136853
2 3,0.01172375,0.0170147,"[[ 9.99996566e-01  2.27372782e-03  1.30321504e-03]
 [-2.27249704e-03  9.99996971e-01 -9.45122644e-04]
 [-1.30536004e-03  9.42157846e-04  9.99998704e-01]]","[[ 9.99992603e-01  3.80924823e-03 -5.31997108e-04]
 [-3.80960504e-03  9.99992518e-01 -6.71318548e-04]
 [ 5.29435908e-04  6.73340282e-04  9.99999633e-01]]",[0.00093823 0.00097691 0.00047986],[-0.00074467 -0.00913582 -0.00062284],0.9846004725719747
3 4,0.01481765,0.0234971,"[[ 9.99999424e-01 -9.60823417e-04 -4.77427957e-04]
 [ 9.60924736e-04  9.99999516e-01  2.12035260e-04]
 [ 4.77223998e-04 -2.12493911e-04  9.99999864e-01]]","[[ 9.99999789e-01 -4.64065137e-06 -6.49990093e-04]
 [ 4.78651948e-06  9.99999975e-01  2.24414521e-04]
 [ 6.49989035e-04 -2.24417585e-04  9.99999764e-01]]",[-0.00044421 -0.00065417 -0.00030153],[ 0.00015215 -0.01139512  0.00068964],0.9955931125240225
4 5,0.0137183,0.0217809,"[[ 9.99996337e-01 -2.70504237e-03  8.96058544e-05]
 [ 2.70506759e-03  9.99996301e-01 -2.82549588e-04]
 [-8.88412143e-05  2.82790943e-04  9.99999956e-01]]","[[ 9.99999185e-01 -1.26434444e-03  1.75847942e-04]
 [ 1.26421595e-03  9.99998935e-01  7.28906108e-04]
 [-1.76769343e-04 -7.28683204e-04  9.99999719e-01]]",[-0.00029664 -0.00295181  0.0011717 ],[-1.58217078e-05 -1.20682791e-02  2.74344368e-03],0.9241948061867178
5 6,0.01001825,0.0170448,"[[ 9.99999885e-01 -4.75033503e-04 -7.07712070e-05]
 [ 4.75033297e-04  9.99999887e-01 -2.93016055e-06]
 [ 7.07725909e-05  2.89654153e-06  9.99999997e-01]]","[[ 9.99999677e-01  7.91740983e-04 -1.40830281e-04]
 [-7.91753436e-04  9.99999683e-01 -8.83921120e-05]
 [ 1.40760253e-04  8.85035863e-05  9.99999986e-01]]",[-1.07905757e-04 -4.75773189e-04  4.56983441e-05],[ 0.0005482  -0.01148092  0.00128306],0.9822564067319318
6 7,0.00889879,0.0169189,"[[ 9.99995970e-01 -2.81809386e-03 -3.44655986e-04]
 [ 2.81816127e-03  9.99996010e-01  1.95260839e-04]
 [ 3.44104347e-04 -1.96231348e-04  9.99999922e-01]]","[[ 9.99999208e-01 -1.01863841e-03 -7.39670920e-04]
 [ 1.01886135e-03  9.99999436e-01  3.01091241e-04]
 [ 7.39363799e-04 -3.01844624e-04  9.99999681e-01]]",[-0.00086662 -0.00265079  0.00098637],[-0.00103779 -0.01302524  0.00180756],0.9123150957697055
7 8,0.0130437,0.0217312,"[[ 9.99995479e-01 -3.00115666e-03 -1.85390449e-04]
 [ 3.00102703e-03  9.99995255e-01 -6.95611282e-04]
 [ 1.87477208e-04  6.95051776e-04  9.99999741e-01]]","[[ 9.99996430e-01 -2.53763159e-03 -8.37095774e-04]
 [ 2.53686405e-03  9.99996362e-01 -9.16696577e-04]
 [ 8.39418967e-04  9.14569706e-04  9.99999229e-01]]",[-0.00053014 -0.0032347   0.0003278 ],[-0.00165069 -0.01315193  0.00026795],0.9319736595722796
8 9,0.00867737,0.0146419,"[[ 9.99999715e-01  7.53680640e-04  4.50696349e-05]
 [-7.53680609e-04  9.99999716e-01 -7.01049985e-07]
 [-4.50701505e-05  6.67081675e-07  9.99999999e-01]]","[[ 9.99997615e-01  2.09791829e-03 -6.08005887e-04]
 [-2.09778501e-03  9.99997775e-01  2.19767266e-04]
 [ 6.08465588e-04 -2.18491276e-04  9.99999791e-01]]",[ 0.00021003  0.00080265 -0.00026405],[ 0.00036982 -0.01015581  0.00019467],1.0013464646019739
