view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0143494,0.0212642,"[[ 9.99999967e-01 -1.47185571e-04  2.09409585e-04]
 [ 1.47179604e-04  9.99999989e-01  2.85099198e-05]
 [-2.09413779e-04 -2.84790980e-05  9.99999978e-01]]","[[ 9.99999971e-01  2.09264346e-05 -2.41162938e-04]
 [-2.09957059e-05  9.99999959e-01 -2.87239675e-04]
 [ 2.41156917e-04  2.87244730e-04  9.99999930e-01]]",[ 2.12459147e-04 -5.82388207e-05  1.20463993e-04],[-2.05880886e-03 -1.13917816e-02  7.07182815e-05],0.9922526628416583
1 2,0.0106489,0.0183555,"[[ 9.99999943e-01 -3.30501927e-04  6.81815701e-05]
 [ 3.30514538e-04  9.99999928e-01 -1.85039254e-04]
 [-6.81204093e-05  1.85061779e-04  9.99999981e-01]]","[[ 9.99999975e-01 -1.03931745e-04 -1.97306047e-04]
 [ 1.03657725e-04  9.99999031e-01 -1.38831154e-03]
 [ 1.97450145e-04  1.38829105e-03  9.99999017e-01]]",[ 1.13239260e-05 -4.05261438e-04  1.03755664e-04],[-0.00107066 -0.0126223   0.00028984],0.9761958215412289
2 3,0.012317,0.0204763,"[[ 9.99999901e-01  4.19359849e-04  1.46903087e-04]
 [-4.19310563e-04  9.99999856e-01 -3.35365533e-04]
 [-1.47043704e-04  3.35303902e-04  9.99999933e-01]]","[[ 9.99998922e-01  1.45942100e-03  1.63188881e-04]
 [-1.45953021e-03  9.99998710e-01  6.71068395e-04]
 [-1.62209300e-04 -6.71305851e-04  9.99999762e-01]]",[ 1.07873373e-04 -3.46201774e-05  8.66088936e-05],[-0.00073726 -0.01056295  0.00072333],1.0005950288902585
3 4,0.0101085,0.0172301,"[[ 9.99998589e-01  1.60871890e-03  4.82861551e-04]
 [-1.60862423e-03  9.99998687e-01 -1.96368552e-04]
 [-4.83176819e-04  1.95591532e-04  9.99999864e-01]]","[[ 9.99997476e-01  2.24630667e-03 -3.59383693e-05]
 [-2.24632294e-03  9.99997372e-01 -4.59122049e-04]
 [ 3.49069459e-05  4.59201619e-04  9.99999894e-01]]",[7.85434224e-04 1.13546665e-03 9.64334694e-06],[-0.0005939  -0.0107966   0.00015898],1.0156417022609032
4 5,0.01387675,0.0233885,"[[ 9.99999852e-01 -4.22298794e-04  3.43489787e-04]
 [ 4.22675761e-04  9.99999308e-01 -1.09813185e-03]
 [-3.43025809e-04  1.09827687e-03  9.99999338e-01]]","[[ 9.99999996e-01 -9.09382206e-05  2.14302268e-05]
 [ 9.09957969e-05  9.99996345e-01 -2.70217941e-03]
 [-2.11844170e-05  2.70218135e-03  9.99996349e-01]]",[ 0.00018211 -0.00142861  0.0002261 ],[-0.0008232  -0.01413068  0.00050319],0.9829586584206581
5 6,0.01043695,0.0185525,"[[ 9.99999918e-01  4.03834314e-04  8.90272238e-06]
 [-4.03826271e-04  9.99999526e-01 -8.85683555e-04]
 [-9.26038758e-06  8.85679888e-04  9.99999608e-01]]","[[ 9.99999473e-01  8.02679568e-04 -6.39707105e-04]
 [-8.03803520e-04  9.99998131e-01 -1.75866276e-03]
 [ 6.38294267e-04  1.75917603e-03  9.99998249e-01]]",[-1.54870372e-04 -6.37283507e-04  6.61170121e-05],[-2.03667240e-03 -1.26116304e-02  7.70096310e-05],0.9874210861993361
6 7,0.01179715,0.0206709,"[[ 9.99999956e-01  2.84941183e-04 -7.89671877e-05]
 [-2.84964462e-04  9.99999916e-01 -2.94939952e-04]
 [ 7.88831405e-05  2.94962442e-04  9.99999953e-01]]","[[ 9.99999817e-01  4.78302250e-04 -3.69547241e-04]
 [-4.79039110e-04  9.99997892e-01 -1.99644551e-03]
 [ 3.68591558e-04  1.99662217e-03  9.99997939e-01]]",[-9.70601899e-05 -7.00804782e-05  5.62967170e-05],[-0.00087412 -0.0130317   0.00029786],0.9965629737321827
7 8,0.0130414,0.0211991,"[[ 9.99991196e-01  4.05480184e-03  1.07980794e-03]
 [-4.05497755e-03  9.99991766e-01  1.60574637e-04]
 [-1.07914795e-03 -1.64951821e-04  9.99999404e-01]]","[[ 9.99991475e-01  4.12919430e-03 -2.41637621e-05]
 [-4.12922321e-03  9.99990559e-01 -1.35298272e-03]
 [ 1.85768054e-05  1.35307097e-03  9.99999084e-01]]",[ 0.00069746  0.00348601 -0.00014092],[-0.00235831 -0.00976776 -0.00041037],1.0545728208390763
8 9,0.01417175,0.0238521,"[[ 9.99999196e-01 -9.88493581e-04 -7.94897313e-04]
 [ 9.88688583e-04  9.99999481e-01  2.44962307e-04]
 [ 7.94654757e-04 -2.45748015e-04  9.99999654e-01]]","[[ 9.99998905e-01 -4.72249753e-04 -1.40279289e-03]
 [ 4.70093801e-04  9.99998709e-01 -1.53683181e-03]
 [ 1.40351685e-03  1.53617068e-03  9.99997835e-01]]",[-0.0008494  -0.00045028 -0.00033162],[-0.00195975 -0.01372369 -0.00036205],0.9965196420735533
