result,fx,fy,cx,cy
1.3244758112462007,695.652,695.652,960,540
1.269403611472337,713.0433,713.0433,960,540
1.2169481265333653,730.4346000000002,730.4346000000002,960,540
1.1670393712531804,747.8259000000002,747.8259000000002,960,540
1.1193595882507328,765.2172000000002,765.2172000000002,960,540
1.0738939762757285,782.6085000000002,782.6085000000002,960,540
1.0304296733773806,799.9998000000002,799.9998000000002,960,540
0.9888404365083133,817.3911000000002,817.3911000000002,960,540
0.9490154965090839,834.7824000000002,834.7824000000002,960,540
0.910868522722008,852.1737000000003,852.1737000000003,960,540
0.8742688713187242,869.5650000000003,869.5650000000003,960,540
0.8390888001091535,886.9563000000003,886.9563000000003,960,540
0.805407850608049,904.3476000000003,904.3476000000003,960,540
0.7729163652686585,921.7389000000003,921.7389000000003,960,540
0.7417393531359083,939.1302000000003,939.1302000000003,960,540
0.7116733998957229,956.5215000000003,956.5215000000003,960,540
0.6827472068912511,973.9128000000004,973.9128000000004,960,540
0.6548621878799659,991.3041000000004,991.3041000000004,960,540
0.6279820664363993,1008.6954000000004,1008.6954000000004,960,540
0.6020262589192301,1026.0867000000003,1026.0867000000003,960,540
0.5769733889528538,1043.4780000000005,1043.4780000000005,960,540
0.552762750990246,1060.8693000000005,1060.8693000000005,960,540
0.5293457063012244,1078.2606000000005,1078.2606000000005,960,540
0.5067361216087694,1095.6519000000005,1095.6519000000005,960,540
0.48480448544037896,1113.0432000000005,1113.0432000000005,960,540
0.46359920096215257,1130.4345000000005,1130.4345000000005,960,540
0.4431085109955937,1147.8258000000005,1147.8258000000005,960,540
0.4232158843237431,1165.2171000000005,1165.2171000000005,960,540
0.4039231180679926,1182.6084000000005,1182.6084000000005,960,540
0.3852213329672865,1199.9997000000005,1199.9997000000005,960,540
0.3671509382947497,1217.3910000000005,1217.3910000000005,960,540
0.34952982574565433,1234.7823000000005,1234.7823000000005,960,540
0.3324629412943772,1252.1736000000005,1252.1736000000005,960,540
0.3158191628662665,1269.5649000000005,1269.5649000000005,960,540
0.29975242616998116,1286.9562000000005,1286.9562000000005,960,540
0.2841109451236212,1304.3475000000008,1304.3475000000008,960,540
0.26882371087386986,1321.7388000000008,1321.7388000000008,960,540
0.25408292789738146,1339.1301000000008,1339.1301000000008,960,540
0.23967231896671745,1356.5214000000008,1356.5214000000008,960,540
0.2256574449585541,1373.9127000000008,1373.9127000000008,960,540
0.2120008522700986,1391.3040000000008,1391.3040000000008,960,540
0.19866028971158792,1408.6953000000008,1408.6953000000008,960,540
0.1857742669136235,1426.0866000000008,1426.0866000000008,960,540
0.1730828649256145,1443.4779000000008,1443.4779000000008,960,540
0.16086841145726158,1460.8692000000008,1460.8692000000008,960,540
0.14882669808365803,1478.2605000000008,1478.2605000000008,960,540
0.13722056540908717,1495.6518000000008,1495.6518000000008,960,540
0.12577962818283828,1513.0431000000008,1513.0431000000008,960,540
0.1147225988440701,1530.4344000000008,1530.4344000000008,960,540
0.10386374188122525,1547.8257000000008,1547.8257000000008,960,540
0.09320186029098908,1565.217000000001,1565.217000000001,960,540
0.0828830348332001,1582.608300000001,1582.608300000001,960,540
0.07278866619605306,1599.999600000001,1599.999600000001,960,540
0.0629591514077816,1617.390900000001,1617.390900000001,960,540
0.05332425222247993,1634.782200000001,1634.782200000001,960,540
0.04390715773035967,1652.173500000001,1652.173500000001,960,540
0.03473914802329537,1669.564800000001,1669.564800000001,960,540
0.025759854121092957,1686.956100000001,1686.956100000001,960,540
0.016970781438013376,1704.347400000001,1704.347400000001,960,540
0.008457621967117761,1721.738700000001,1721.738700000001,960,540
0.0007595202677318748,1739.1300000000008,1739.1300000000008,960,540
0.008402021223955452,1756.5213000000012,1756.5213000000012,960,540
0.016425606058192564,1773.912600000001,1773.912600000001,960,540
0.024201102615909343,1791.3039000000012,1791.3039000000012,960,540
0.031908563866556945,1808.695200000001,1808.695200000001,960,540
0.039388766027634366,1826.0865000000013,1826.0865000000013,960,540
0.04691436932312542,1843.477800000001,1843.477800000001,960,540
0.054162235277615316,1860.8691000000015,1860.8691000000015,960,540
0.061107563605148636,1878.260400000001,1878.260400000001,960,540
0.06804374380947963,1895.6517000000015,1895.6517000000015,960,540
0.0749312594647082,1913.043000000001,1913.043000000001,960,540
0.08163368798661247,1930.4343000000015,1930.4343000000015,960,540
0.08806643609724059,1947.825600000001,1947.825600000001,960,540
0.09439087861719013,1965.2169000000015,1965.2169000000015,960,540
0.10082824809677608,1982.608200000001,1982.608200000001,960,540
0.1069784660878365,1999.9995000000015,1999.9995000000015,960,540
0.11301863493247505,2017.390800000001,2017.390800000001,960,540
0.11875632833372719,2034.7821000000015,2034.7821000000015,960,540
0.12464550264779987,2052.173400000001,2052.173400000001,960,540
0.13025217778161383,2069.5647000000017,2069.5647000000017,960,540
0.13591773649356972,2086.956000000001,2086.956000000001,960,540
0.14148751265388887,2104.3473000000017,2104.3473000000017,960,540
0.14666468322453835,2121.738600000001,2121.738600000001,960,540
0.152136252724179,2139.1299000000017,2139.1299000000017,960,540
0.15721468624433438,2156.5212000000015,2156.5212000000015,960,540
0.16241346158874972,2173.9125000000017,2173.9125000000017,960,540
0.16740185026814977,2191.3038000000015,2191.3038000000015,960,540
0.17221085528922142,2208.6951000000017,2208.6951000000017,960,540
0.17703146646833737,2226.0864000000015,2226.0864000000015,960,540
0.1818697579933842,2243.4777000000017,2243.4777000000017,960,540
0.18626147775265145,2260.8690000000015,2260.8690000000015,960,540
0.19109003914686676,2278.2603000000017,2278.2603000000017,960,540
0.19529684374114242,2295.6516000000015,2295.6516000000015,960,540
0.19969389870194468,2313.0429000000017,2313.0429000000017,960,540
0.20402137679662002,2330.4342000000015,2330.4342000000015,960,540
0.20828361111242008,2347.8255000000017,2347.8255000000017,960,540
