view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00644796,0.0113411,"[[ 9.99998983e-01 -8.07036537e-04  1.17620954e-03]
 [ 8.07809953e-04  9.99999458e-01 -6.57223512e-04]
 [-1.17567850e-03  6.58172997e-04  9.99999092e-01]]","[[ 9.99999896e-01  1.44709108e-04  4.32007323e-04]
 [-1.44810678e-04  9.99999962e-01  2.35089739e-04]
 [-4.31973286e-04 -2.35152274e-04  9.99999879e-01]]",[ 0.00044984 -0.00155303  0.00149259],[ 0.00099683 -0.01082106  0.00168189],0.9177391132723252
1 2,0.009953605,0.0168027,"[[ 9.99998809e-01  1.03669702e-03  1.14318509e-03]
 [-1.03627623e-03  9.99999395e-01 -3.68618119e-04]
 [-1.14356654e-03  3.67433025e-04  9.99999279e-01]]","[[ 9.99999394e-01  1.10060969e-03  8.99422323e-06]
 [-1.10058717e-03  9.99996961e-01 -2.20591379e-03]
 [-1.14220460e-05  2.20590256e-03  9.99997567e-01]]",[0.00106745 0.00055664 0.00061926],[ 0.00177111 -0.01172786  0.00014329],0.9907054721641171
2 3,0.0073605400000000005,0.0138831,"[[ 9.99998708e-01  1.60636067e-03  6.23019761e-05]
 [-1.60636682e-03  9.99998705e-01  9.87627677e-05]
 [-6.21432468e-05 -9.88627199e-05  9.99999993e-01]]","[[ 9.99997887e-01  1.92119955e-03 -7.31009602e-04]
 [-1.92126584e-03  9.99998150e-01 -8.99890768e-05]
 [ 7.30835363e-04  9.13933504e-05  9.99999729e-01]]",[ 0.00042273  0.0016507  -0.00060078],[ 0.00064322 -0.00911735 -0.00071209],1.001474285072907
3 4,0.0113644,0.0179669,"[[ 9.99999622e-01 -1.53215985e-04  8.55543390e-04]
 [ 1.53597269e-04  9.99999889e-01 -4.45613961e-04]
 [-8.55475020e-04  4.45745201e-04  9.99999535e-01]]","[[ 9.99999338e-01  9.96885984e-04 -5.74354077e-04]
 [-9.96763595e-04  9.99999480e-01  2.13337839e-04]
 [ 5.74566453e-04 -2.12765202e-04  9.99999812e-01]]",[ 0.00042733 -0.00072924  0.00098494],[ 0.00136295 -0.01020236  0.00075847],0.935728860524287
4 5,0.00953767,0.0160631,"[[ 9.99994722e-01  3.11715074e-03  9.15792858e-04]
 [-3.11708362e-03  9.99995139e-01 -7.47084415e-05]
 [-9.16021284e-04  7.18534443e-05  9.99999578e-01]]","[[ 9.99994984e-01  3.16269716e-03  1.74007506e-04]
 [-3.16259724e-03  9.99994836e-01 -5.71509313e-04]
 [-1.75814118e-04  5.70956131e-04  9.99999822e-01]]",[ 0.00084714  0.0028171  -0.00043982],[ 0.00092606 -0.00853566 -0.00076552],1.041567793546368
5 6,0.007560505,0.0132511,"[[ 9.99999044e-01 -3.99811028e-04  1.32406490e-03]
 [ 4.00609012e-04  9.99999738e-01 -6.02467231e-04]
 [-1.32382368e-03  6.02997088e-04  9.99998942e-01]]","[[ 9.99999936e-01  1.68504728e-04  3.15181967e-04]
 [-1.68236794e-04  9.99999625e-01 -8.49926603e-04]
 [-3.15325065e-04  8.49873523e-04  9.99999589e-01]]",[ 0.00086237 -0.00098575  0.00114492],[ 0.00098741 -0.01076261  0.00099952],0.932904444356667
6 7,0.009307535,0.016238,"[[ 9.99999317e-01 -9.88175438e-04 -6.24824768e-04]
 [ 9.88226083e-04  9.99999508e-01  8.07506931e-05]
 [ 6.24744665e-04 -8.13681061e-05  9.99999802e-01]]","[[ 9.99998533e-01 -1.05087544e-03 -1.35254597e-03]
 [ 1.05010964e-03  9.99999288e-01 -5.66780863e-04]
 [ 1.35314063e-03  5.65359711e-04  9.99998925e-01]]",[-0.00058627 -0.00079878 -0.00013327],[-0.00052019 -0.01181531 -0.00051127],0.993587880915623
7 8,0.009585105,0.014678,"[[ 9.99999918e-01 -3.17252313e-04  2.50287998e-04]
 [ 3.17353947e-04  9.99999867e-01 -4.06132752e-04]
 [-2.50159118e-04  4.06212149e-04  9.99999886e-01]]","[[ 9.99999732e-01  3.91478910e-04 -6.18827348e-04]
 [-3.92352799e-04  9.99998925e-01 -1.41267940e-03]
 [ 6.18273649e-04  1.41292182e-03  9.99998811e-01]]",[-2.87126292e-05 -7.88831634e-04  4.71320949e-04],[ 0.0015177  -0.01191559  0.00052606],0.9743825665355638
8 9,0.009994059999999999,0.0174144,"[[ 9.99999051e-01  1.24368448e-03  5.92070380e-04]
 [-1.24355515e-03  9.99999203e-01 -2.18763823e-04]
 [-5.92341981e-04  2.18027343e-04  9.99999801e-01]]","[[ 9.99998629e-01  1.65198121e-03 -1.12141107e-04]
 [-1.65202476e-03  9.99998560e-01 -3.89423985e-04]
 [ 1.11497624e-04  3.89608711e-04  9.99999918e-01]]",[0.00063279 0.00090326 0.00031996],[ 0.00147654 -0.00996888  0.00027457],0.9910252930060516
