view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.01114635,0.0206135,"[[ 9.99999924e-01 -3.09485119e-04  2.37021483e-04]
 [ 3.09519503e-04  9.99999942e-01 -1.45045030e-04]
 [-2.36976580e-04  1.45118382e-04  9.99999961e-01]]","[[ 9.99999005e-01  3.46368347e-04 -1.36775707e-03]
 [-3.47699351e-04  9.99999466e-01 -9.73011338e-04]
 [ 1.36741932e-03  9.73485938e-04  9.99998591e-01]]",[ 6.31406336e-05 -4.00035659e-04  3.39831316e-04],[-0.00010108 -0.01211492  0.00020985],0.97873806491567
1 2,0.01871635,0.0277979,"[[ 0.99987383 -0.01527379  0.0043622 ]
 [ 0.01523529  0.99984585  0.00872759]
 [-0.00449483 -0.00866003  0.9999524 ]]","[[ 0.99984452 -0.01708915  0.00434671]
 [ 0.01700414  0.99967685  0.01889574]
 [-0.00466822 -0.01881889  0.99981201]]",[-0.05519131 -0.03570861  0.26204641],[-0.05306802 -0.03682118  0.26839816],0.6714324464793724
2 3,0.006799105,0.0113457,"[[ 9.99998355e-01  1.61433634e-03  8.27533836e-04]
 [-1.61386155e-03  9.99998533e-01 -5.74086708e-04]
 [-8.28459391e-04  5.72750238e-04  9.99999493e-01]]","[[ 9.99998253e-01  1.84673370e-03  2.88424019e-04]
 [-1.84636439e-03  9.99997482e-01 -1.27547891e-03]
 [-2.90778763e-04  1.27494415e-03  9.99999145e-01]]",[0.00064416 0.00069993 0.0003862 ],[ 0.00100496 -0.00723466  0.00051826],1.005264796419398
3 4,0.0109052,0.0176516,"[[ 9.99998029e-01  1.94431830e-03  4.01272879e-04]
 [-1.94456777e-03  9.99997916e-01  6.22259988e-04]
 [-4.00062172e-04 -6.23039064e-04  9.99999726e-01]]","[[ 9.99996521e-01  2.60710576e-03  4.01541785e-04]
 [-2.60699382e-03  9.99996563e-01 -2.79055892e-04]
 [-4.02267933e-04  2.78008104e-04  9.99999880e-01]]",[ 0.00098727  0.00245378 -0.00051783],[ 0.00335807 -0.01009906  0.00087817],1.0508520987510226
4 5,0.01071895,0.0189103,"[[ 9.99995484e-01  2.81054407e-03  1.06438861e-03]
 [-2.81088856e-03  9.99995998e-01  3.22300762e-04]
 [-1.06347851e-03 -3.25291184e-04  9.99999382e-01]]","[[ 9.99994293e-01  3.33987432e-03 -5.10094683e-04]
 [-3.34056555e-03  9.99993495e-01 -1.36031337e-03]
 [ 5.05548089e-04  1.36200961e-03  9.99998945e-01]]",[ 0.00151759  0.00277309 -0.00033481],[ 0.00148921 -0.010204   -0.00037724],1.0382208332395633
5 6,0.01377385,0.0186415,"[[ 9.99982812e-01 -5.83515754e-03 -5.71355032e-04]
 [ 5.83538306e-03  9.99982896e-01  3.93838481e-04]
 [ 5.69047150e-04 -3.97165788e-04  9.99999759e-01]]","[[ 0.99998325 -0.00537852  0.00213579]
 [ 0.00537154  0.99998026  0.00325921]
 [-0.00215328 -0.00324769  0.99999241]]",[-0.00035559 -0.00449465  0.00157192],[ 0.00199872 -0.01230901  0.00518646],0.9141793012332484
6 7,0.011347449999999999,0.0185182,"[[ 9.99999610e-01  8.48734746e-04  2.45271533e-04]
 [-8.48781162e-04  9.99999622e-01  1.89202155e-04]
 [-2.45110858e-04 -1.89410263e-04  9.99999952e-01]]","[[ 9.99999245e-01  1.21544589e-03  1.78474731e-04]
 [-1.21519278e-03  9.99998265e-01 -1.41153027e-03]
 [-1.80190061e-04  1.41131233e-03  9.99998988e-01]]",[ 4.97032771e-04  8.83554562e-04 -9.34048833e-05],[ 0.00242419 -0.01213602  0.00114878],1.0379676417839576
7 8,0.010862400000000001,0.0195063,"[[ 9.99995710e-01  2.74564959e-03  1.02046508e-03]
 [-2.74555748e-03  9.99996227e-01 -9.16564764e-05]
 [-1.02071289e-03  8.88543376e-05  9.99999475e-01]]","[[ 9.99995042e-01  3.11328447e-03  4.72207962e-04]
 [-3.11286541e-03  9.99994763e-01 -8.85606644e-04]
 [-4.74962634e-04  8.84132333e-04  9.99999496e-01]]",[ 0.00089821  0.0022356  -0.00012836],[ 0.00076741 -0.00976404  0.00018759],1.045560178790168
8 9,0.01040125,0.0158282,"[[ 9.99999949e-01  3.12029061e-04  6.39096241e-05]
 [-3.12045233e-04  9.99999919e-01  2.53191563e-04]
 [-6.38306159e-05 -2.53211493e-04  9.99999966e-01]]","[[ 9.99999444e-01  8.67888493e-04  5.99428397e-04]
 [-8.67978513e-04  9.99999612e-01  1.49932243e-04]
 [-5.99298040e-04 -1.50452451e-04  9.99999809e-01]]",[ 0.00017383  0.00054994 -0.00016489],[ 0.00182241 -0.01054705  0.00133631],1.0068562634526248
