view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.00936861,0.015838,"[[ 9.99999236e-01 -1.23622396e-03  1.45992565e-05]
 [ 1.23622166e-03  9.99999224e-01  1.56870206e-04]
 [-1.47931719e-05 -1.56852038e-04  9.99999988e-01]]","[[ 9.99999856e-01  1.81491053e-04  5.05154083e-04]
 [-1.81992282e-04  9.99999491e-01  9.92361701e-04]
 [-5.04973721e-04 -9.92453493e-04  9.99999380e-01]]",[-0.00034775 -0.00122359  0.00069273],[-0.00052743 -0.01116496  0.00246414],0.9580250816426633
1 2,0.01134945,0.0214821,"[[ 9.99999917e-01  4.19682087e-05 -4.06152080e-04]
 [-4.18197647e-05  9.99999932e-01  3.65490214e-04]
 [ 4.06167392e-04 -3.65473199e-04  9.99999851e-01]]","[[ 9.99999511e-01  8.85562095e-04 -4.41312333e-04]
 [-8.85579132e-04  9.99999607e-01 -3.84132381e-05]
 [ 4.41278142e-04  3.88040363e-05  9.99999902e-01]]",[-1.17148058e-05  5.16749406e-04 -6.71937807e-04],[-4.92014981e-05 -1.11876683e-02  1.98290563e-04],1.0320422842655264
2 3,0.0125242,0.021087,"[[ 9.99774961e-01  2.12112724e-02  3.31709326e-04]
 [-2.12065670e-02  9.99718928e-01 -1.05993422e-02]
 [-5.56441628e-04  1.05899225e-02  9.99943770e-01]]","[[ 9.99814669e-01  1.91419646e-02  2.05239492e-03]
 [-1.91407281e-02  9.99816607e-01 -6.20439345e-04]
 [-2.06389496e-03  5.81040025e-04  9.99997701e-01]]",[ 0.0886984   0.08780317 -0.3520382 ],[ 0.09671859  0.08461385 -0.33093581],2.0225481387875393
3 4,0.0148083,0.0235018,"[[ 9.99999436e-01 -9.51045841e-04 -4.72430374e-04]
 [ 9.51149042e-04  9.99999524e-01  2.18270481e-04]
 [ 4.72222564e-04 -2.18719710e-04  9.99999865e-01]]","[[ 9.99999796e-01  6.84019635e-06 -6.39015525e-04]
 [-6.69119962e-06  9.99999973e-01  2.33167914e-04]
 [ 6.39017103e-04 -2.33163590e-04  9.99999769e-01]]",[-0.00041544 -0.00069255 -0.00031945],[ 0.00014944 -0.01149456  0.00067071],0.9951067098009807
4 5,0.0136931,0.0217989,"[[ 9.99996535e-01 -2.62996463e-03  1.16681680e-04]
 [ 2.62999646e-03  9.99996504e-01 -2.73528817e-04]
 [-1.15961901e-04  2.73834741e-04  9.99999956e-01]]","[[ 9.99999302e-01 -1.16564232e-03  1.93246062e-04]
 [ 1.16550315e-03  9.99999063e-01  7.18716207e-04]
 [-1.94083647e-04 -7.18490476e-04  9.99999723e-01]]",[-0.00028985 -0.00303948  0.00118504],[-7.93414703e-05 -1.21863819e-02  2.76664281e-03],0.9185938063750091
5 6,0.010011550000000001,0.0170417,"[[ 9.99999887e-01 -4.71190357e-04 -6.93009290e-05]
 [ 4.71190152e-04  9.99999889e-01 -2.97971505e-06]
 [ 6.93023253e-05  2.94706080e-06  9.99999998e-01]]","[[ 9.99999674e-01  7.95815028e-04 -1.32979599e-04]
 [-7.95826190e-04  9.99999680e-01 -8.39082830e-05]
 [ 1.32912780e-04  8.40140843e-05  9.99999988e-01]]",[-1.02192897e-04 -5.03047227e-04  4.69240038e-05],[ 0.00051107 -0.0115581   0.0012886 ],0.9808067774042594
6 7,0.008886175,0.0169244,"[[ 9.99996097e-01 -2.77611392e-03 -3.16027759e-04]
 [ 2.77618250e-03  9.99996123e-01  2.16785730e-04]
 [ 3.15424712e-04 -2.17662235e-04  9.99999927e-01]]","[[ 9.99999283e-01 -9.73591260e-04 -6.97914168e-04]
 [ 9.73817606e-04  9.99999473e-01  3.24051847e-04]
 [ 6.97598307e-04 -3.24731256e-04  9.99999704e-01]]",[-0.00086133 -0.00277768  0.00099716],[-0.00106887 -0.01316201  0.00180152],0.9070099960230612
7 8,0.0130498,0.0217432,"[[ 9.99995550e-01 -2.97831199e-03 -1.74882150e-04]
 [ 2.97819281e-03  9.99995335e-01 -6.77844416e-04]
 [ 1.76900166e-04  6.77320567e-04  9.99999755e-01]]","[[ 9.99996496e-01 -2.51986573e-03 -8.11845160e-04]
 [ 2.51914032e-03  9.99996428e-01 -8.93314696e-04]
 [ 8.14093293e-04  8.91266413e-04  9.99999271e-01]]",[-0.00051452 -0.00332659  0.00029762],[-0.00162589 -0.01322271  0.00021065],0.9263136163213158
8 9,0.00865574,0.0146328,"[[ 9.99999728e-01  7.37187276e-04  3.74251783e-05]
 [-7.37187144e-04  9.99999728e-01 -3.53366046e-06]
 [-3.74277731e-05  3.50607013e-06  9.99999999e-01]]","[[ 9.99997640e-01  2.08748278e-03 -6.01940599e-04]
 [-2.08735311e-03  9.99997798e-01  2.15954044e-04]
 [ 6.02390074e-04 -2.14697072e-04  9.99999796e-01]]",[ 0.00020315  0.00083755 -0.00027066],[ 0.00034496 -0.01018613  0.00016002],1.0017647477350922
