view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.014387500000000001,0.0212898,"[[ 9.99999975e-01  6.28179161e-06  2.22022162e-04]
 [-6.27644053e-06  1.00000000e+00 -2.41022222e-05]
 [-2.22022313e-04  2.41008281e-05  9.99999975e-01]]","[[ 9.99999970e-01  1.29470038e-04 -2.05942856e-04]
 [-1.29539295e-04  9.99999935e-01 -3.36314729e-04]
 [ 2.05899300e-04  3.36341397e-04  9.99999922e-01]]",[ 1.49316601e-04 -5.16562125e-06  1.66717169e-04],[-2.04876041e-03 -1.10017307e-02  4.51036565e-06],0.9906768573280382
1 2,0.01067565,0.0183629,"[[ 9.99999932e-01 -3.56634613e-04  9.13950464e-05]
 [ 3.56650906e-04  9.99999921e-01 -1.78317622e-04]
 [-9.13314449e-05  1.78350206e-04  9.99999980e-01]]","[[ 9.99999946e-01 -2.87992567e-04 -1.55730167e-04]
 [ 2.87770767e-04  9.99998947e-01 -1.42241258e-03]
 [ 1.56139647e-04  1.42236769e-03  9.99998976e-01]]",[-2.41528848e-05 -4.86345263e-04  1.62877240e-04],[-0.00108478 -0.01232155  0.00021266],0.965222203795996
2 3,0.01895405,0.0296167,"[[ 0.99988969  0.01478347 -0.00143103]
 [-0.01479608  0.99984783 -0.00924096]
 [ 0.0012942   0.00926111  0.99995628]]","[[ 9.99913031e-01  1.31761594e-02  5.65276621e-04]
 [-1.31771263e-02  9.99911660e-01  1.74238641e-03]
 [-5.42268723e-04 -1.74968360e-03  9.99998322e-01]]",[ 0.09106504  0.06854844 -0.30873382],[ 0.09594654  0.06715278 -0.29136623],1.692279314835728
3 4,0.019783799999999997,0.0363038,"[[ 0.99996046 -0.00855816  0.00241754]
 [ 0.00854096  0.99993875  0.00703853]
 [-0.00247763 -0.00701761  0.99997231]]","[[ 0.99993944 -0.01031664  0.0038308 ]
 [ 0.01024554  0.999783    0.01813764]
 [-0.00401708 -0.01809729  0.99982816]]",[-0.07104899 -0.03910353  0.22043133],[-0.06922473 -0.03967501  0.22968975],0.8280071520517706
4 5,0.013907349999999999,0.0233944,"[[ 9.99999798e-01 -5.07658316e-04  3.81664653e-04]
 [ 5.08096146e-04  9.99999212e-01 -1.14794064e-03]
 [-3.81081591e-04  1.14813433e-03  9.99999268e-01]]","[[ 9.99999921e-01 -3.87705886e-04  8.87015622e-05]
 [ 3.87953320e-04  9.99995986e-01 -2.80671292e-03]
 [-8.76130271e-05  2.80674711e-03  9.99996057e-01]]",[ 0.00015499 -0.00157323  0.00026417],[-0.00083533 -0.01385922  0.00036694],0.9694022124265312
5 6,0.0104602,0.0185578,"[[ 9.99999978e-01  2.09702130e-04  1.02395711e-05]
 [-2.09692925e-04  9.99999581e-01 -8.90836755e-04]
 [-1.04263772e-05  8.90834588e-04  9.99999603e-01]]","[[ 9.99999691e-01  4.91950945e-04 -6.12674262e-04]
 [-4.93045933e-04  9.99998279e-01 -1.78836043e-03]
 [ 6.11793422e-04  1.78866196e-03  9.99998213e-01]]",[-2.07555897e-04 -7.34629804e-04  2.91081934e-05],[-0.00203186 -0.012251   -0.00015687],0.9733650129843477
6 7,0.01182555,0.020669,"[[ 9.99999982e-01  1.85758408e-04 -4.92409008e-05]
 [-1.85772604e-04  9.99999941e-01 -2.88437074e-04]
 [ 4.91873183e-05  2.88446216e-04  9.99999957e-01]]","[[ 9.99999939e-01  1.54489485e-04 -3.12391305e-04]
 [-1.55128353e-04  9.99997895e-01 -2.04610037e-03]
 [ 3.12074546e-04  2.04614871e-03  9.99997858e-01]]",[-1.56466581e-04 -1.11318896e-04  5.91829808e-05],[-0.0009227  -0.01281865  0.00012006],0.9922444015756723
7 8,0.013162,0.0213109,"[[ 9.99999401e-01  1.08435225e-03  1.46405874e-04]
 [-1.08441443e-03  9.99999322e-01  4.25256563e-04]
 [-1.45944647e-04 -4.25415073e-04  9.99999899e-01]]","[[ 9.99999096e-01  9.68723939e-04 -9.32814011e-04]
 [-9.69764477e-04  9.99998907e-01 -1.11567702e-03]
 [ 9.31732209e-04  1.11658062e-03  9.99998943e-01]]",[ 1.40982185e-04  1.49951503e-03 -7.83039292e-05],[-0.00278285 -0.01122854 -0.00067987],1.0380443830183932
8 9,0.014238549999999999,0.0238783,"[[ 9.99999072e-01 -1.10004906e-03 -8.03727585e-04]
 [ 1.10034667e-03  9.99999326e-01  3.69939306e-04]
 [ 8.03320092e-04 -3.70823342e-04  9.99999609e-01]]","[[ 9.99998718e-01 -8.17624089e-04 -1.37696743e-03]
 [ 8.15616909e-04  9.99998605e-01 -1.45761265e-03]
 [ 1.37815729e-03  1.45648770e-03  9.99997990e-01]]",[-0.00081805 -0.00063149 -0.00042028],[-0.00190154 -0.01361902 -0.00071323],0.9951871866959434
