variance,percentage,fxy,cxy,reward,done
0.3,0.0,-0.1,-0.6,0.0826,True
0.3,0.0,-0.1,-0.5,0.0865,True
0.3,0.0,-0.08,-0.6,0.0617,False
0.3,0.0,-0.08,-0.55,0.0631,False
0.3,0.0,-0.08,-0.5,0.0645,False
0.3,0.0,-0.08,-0.45,0.0662,False
0.3,0.0,-0.08,-0.3,0.0723,True
0.3,0.0,-0.08,-0.25,0.0747,True
0.3,0.0,-0.08,-0.2,0.0772,True
0.3,0.0,-0.08,-0.15,0.08,True
0.3,0.0,-0.08,-0.1,0.0829,True
0.3,0.0,-0.08,-0.05,0.086,True
0.3,0.0,-0.08,0.0,0.0892,True
0.3,0.0,-0.08,0.05,0.0926,True
0.3,0.0,-0.06,-0.6,0.0446,False
0.3,0.0,-0.06,-0.55,0.0449,False
0.3,0.0,-0.06,-0.5,0.0453,False
0.3,0.0,-0.06,-0.45,0.0461,False
0.3,0.0,-0.06,-0.4,0.0471,False
0.3,0.0,-0.06,-0.35,0.0485,False
0.3,0.0,-0.06,-0.3,0.0502,False
0.3,0.0,-0.06,-0.25,0.0521,False
0.3,0.0,-0.06,-0.2,0.0544,False
0.3,0.0,-0.06,-0.15,0.0569,False
0.3,0.0,-0.06,-0.1,0.0596,False
0.3,0.0,-0.06,-0.05,0.0625,False
0.3,0.0,-0.06,0.0,0.0656,False
0.3,0.0,-0.06,0.05,0.069,False
0.3,0.0,-0.06,0.1,0.0724,True
0.3,0.0,-0.04,-0.6,0.0352,False
0.3,0.0,-0.04,-0.55,0.0335,False
0.3,0.0,-0.04,-0.5,0.032,False
0.3,0.0,-0.04,-0.45,0.031,False
0.3,0.0,-0.04,-0.4,0.0303,False
0.3,0.0,-0.04,-0.35,0.0301,False
0.3,0.0,-0.04,-0.3,0.0305,False
0.3,0.0,-0.04,-0.25,0.0315,False
0.3,0.0,-0.04,-0.2,0.033,False
0.3,0.0,-0.04,-0.15,0.0349,False
0.3,0.0,-0.04,-0.1,0.0372,False
0.3,0.0,-0.04,-0.05,0.04,False
0.3,0.0,-0.04,0.0,0.043,False
0.3,0.0,-0.04,0.05,0.0462,False
0.3,0.0,-0.04,0.1,0.0498,False
0.3,0.0,-0.02,-0.6,0.0381,False
0.3,0.0,-0.02,-0.55,0.0347,False
0.3,0.0,-0.02,-0.5,0.0313,False
0.3,0.0,-0.02,-0.45,0.0279,False
0.3,0.0,-0.02,-0.4,0.0247,False
0.3,0.0,-0.02,-0.35,0.0216,False
0.3,0.0,-0.02,-0.3,0.0189,False
0.3,0.0,-0.02,-0.25,0.0167,False
0.3,0.0,-0.02,-0.2,0.0155,False
0.3,0.0,-0.02,-0.15,0.0153,False
0.3,0.0,-0.02,-0.1,0.0163,False
0.3,0.0,-0.02,-0.05,0.0184,False
0.3,0.0,-0.02,0.0,0.0211,False
0.3,0.0,-0.02,0.05,0.0244,False
0.3,0.0,-0.02,0.1,0.028,False
0.3,0.0,-0.02,0.15,0.032,False
0.3,0.0,0.0,-0.6,0.0506,False
0.3,0.0,0.0,-0.55,0.0467,False
0.3,0.0,0.0,-0.5,0.0427,False
0.3,0.0,0.0,-0.45,0.0388,False
0.3,0.0,0.0,-0.4,0.0347,False
0.3,0.0,0.0,-0.35,0.0305,False
0.3,0.0,0.0,-0.3,0.0264,False
0.3,0.0,0.0,-0.25,0.0221,False
0.3,0.0,0.0,-0.2,0.0179,False
0.3,0.0,0.0,-0.15,0.0137,False
0.3,0.0,0.0,-0.1,0.0094,False
0.3,0.0,0.0,-0.05,0.0051,False
0.3,0.0,0.0,0.0,0.001,False
0.3,0.0,0.0,0.05,0.0038,False
0.3,0.0,0.0,0.1,0.0082,False
0.3,0.0,0.0,0.15,0.0128,False
0.3,0.0,0.02,-0.6,0.067,False
0.3,0.0,0.02,-0.55,0.0631,False
0.3,0.0,0.02,-0.5,0.0592,False
0.3,0.0,0.02,-0.45,0.0553,False
0.3,0.0,0.02,-0.4,0.0513,False
0.3,0.0,0.02,-0.35,0.0473,False
0.3,0.0,0.02,-0.3,0.0433,False
0.3,0.0,0.02,-0.25,0.0393,False
0.3,0.0,0.02,-0.2,0.0353,False
0.3,0.0,0.02,-0.15,0.0315,False
0.3,0.0,0.02,-0.1,0.0277,False
0.3,0.0,0.02,-0.05,0.024,False
0.3,0.0,0.02,0.0,0.0205,False
0.3,0.0,0.02,0.05,0.0175,False
0.3,0.0,0.02,0.1,0.0151,False
0.3,0.0,0.02,0.15,0.0138,False
0.3,0.0,0.02,0.2,0.014,False
0.3,0.0,0.04,-0.6,0.0849,True
0.3,0.0,0.04,-0.55,0.0811,True
0.3,0.0,0.04,-0.5,0.0773,True
0.3,0.0,0.04,-0.45,0.0735,True
0.3,0.0,0.04,-0.4,0.0696,False
0.3,0.0,0.04,-0.35,0.0658,False
0.3,0.0,0.04,-0.3,0.0619,False
0.3,0.0,0.04,-0.25,0.0581,False
0.3,0.0,0.04,-0.2,0.0544,False
0.3,0.0,0.04,-0.15,0.0508,False
0.3,0.0,0.04,-0.1,0.0472,False
0.3,0.0,0.04,-0.05,0.0437,False
0.3,0.0,0.04,0.0,0.0403,False
0.3,0.0,0.04,0.05,0.0372,False
0.3,0.0,0.04,0.1,0.0343,False
0.3,0.0,0.04,0.15,0.0319,False
0.3,0.0,0.04,0.2,0.0299,False
