view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.006442425,0.0113337,"[[ 9.99998977e-01 -8.52500788e-04  1.14879498e-03]
 [ 8.53300884e-04  9.99999394e-01 -6.96155200e-04]
 [-1.14820081e-03  6.97134755e-04  9.99999098e-01]]","[[ 9.99999928e-01  4.73376374e-05  3.77265742e-04]
 [-4.74175363e-05  9.99999976e-01  2.11778053e-04]
 [-3.77255708e-04 -2.11795927e-04  9.99999906e-01]]",[ 0.00057065 -0.00149083  0.00137836],[ 0.00110204 -0.01056222  0.00161215],0.9284066639617474
1 2,0.009951465,0.0168069,"[[ 9.99998816e-01  9.87705264e-04  1.18031126e-03]
 [-9.87333191e-04  9.99999463e-01 -3.15773780e-04]
 [-1.18062251e-03  3.14608046e-04  9.99999254e-01]]","[[ 9.99999340e-01  1.14872769e-03  8.30889521e-06]
 [-1.14870676e-03  9.99996946e-01 -2.18822894e-03]
 [-1.08225490e-05  2.18821795e-03  9.99997606e-01]]",[0.00114609 0.00045188 0.00057824],[ 0.00175463 -0.01161551  0.00028439],0.9917100652437993
2 3,0.00734451,0.0138733,"[[ 9.99998703e-01  1.60627062e-03  1.18794701e-04]
 [-1.60629083e-03  9.99998695e-01  1.70237254e-04]
 [-1.18521099e-04 -1.70427852e-04  9.99999978e-01]]","[[ 9.99997893e-01  1.92850163e-03 -7.03504673e-04]
 [-1.92852225e-03  9.99998140e-01 -2.86412276e-05]
 [ 7.03448129e-04  2.99978917e-05  9.99999752e-01]]",[ 0.00041648  0.00149925 -0.00053768],[ 0.00059185 -0.00897871 -0.00056158],0.9994758467951427
3 4,0.01132385,0.0179406,"[[ 9.99999609e-01 -1.71783216e-04  8.67205055e-04]
 [ 1.72174349e-04  9.99999883e-01 -4.50972851e-04]
 [-8.67127484e-04  4.51121986e-04  9.99999522e-01]]","[[ 9.99999373e-01  9.32131521e-04 -6.20260686e-04]
 [-9.32001044e-04  9.99999544e-01  2.10615258e-04]
 [ 6.20456724e-04 -2.10037043e-04  9.99999785e-01]]",[ 0.00049966 -0.00070273  0.00093525],[ 0.0013492  -0.00996386  0.00082978],0.9423894685956552
4 5,0.00954163,0.0160533,"[[ 9.99994995e-01  2.98568799e-03  1.04675255e-03]
 [-2.98577971e-03  9.99995539e-01  8.60672696e-05]
 [-1.04649091e-03 -8.91922113e-05  9.99999448e-01]]","[[ 9.99995291e-01  3.05584640e-03  2.82315856e-04]
 [-3.05572588e-03  9.99995240e-01 -4.26356951e-04]
 [-2.83617394e-04  4.25492264e-04  9.99999869e-01]]",[ 0.00089724  0.0024638  -0.00028875],[ 0.00092115 -0.00853238 -0.0005159 ],1.03269325698123
5 6,0.007549025,0.0132463,"[[ 9.99999012e-01 -4.74100625e-04  1.32318843e-03]
 [ 4.74903921e-04  9.99999703e-01 -6.06843210e-04]
 [-1.32290033e-03  6.07470998e-04  9.99998940e-01]]","[[ 9.99999956e-01  1.06535692e-04  2.77521704e-04]
 [-1.06297020e-04  9.99999625e-01 -8.59884458e-04]
 [-2.77613208e-04  8.59854920e-04  9.99999592e-01]]",[ 0.00096018 -0.00098542  0.00106087],[ 0.0010388  -0.01060041  0.00102233],0.9408947749125979
6 7,0.00929582,0.0162211,"[[ 9.99998511e-01 -1.57511105e-03 -7.05062215e-04]
 [ 1.57475425e-03  9.99998632e-01 -5.06320911e-04]
 [ 7.05858762e-04  5.05209857e-04  9.99999623e-01]]","[[ 0.99999765 -0.0016047  -0.00145476]
 [ 0.001603    0.99999803 -0.00116819]
 [ 0.00145664  0.00116586  0.99999826]]",[-6.67521464e-04 -1.68125526e-03 -7.97340318e-05],[-0.0006641  -0.01208324 -0.00034466],0.9602328529012792
7 8,0.00956722,0.0146581,"[[ 9.99999937e-01 -2.82325228e-04  2.17391349e-04]
 [ 2.82420988e-04  9.99999863e-01 -4.40589232e-04]
 [-2.17266929e-04  4.40650600e-04  9.99999879e-01]]","[[ 9.99999645e-01  4.76993930e-04 -6.93971524e-04]
 [-4.78011193e-04  9.99998811e-01 -1.46642907e-03]
 [ 6.93271221e-04  1.46676028e-03  9.99998684e-01]]",[ 1.29591009e-05 -7.38316677e-04  4.03828134e-04],[ 0.00148824 -0.01165611  0.00058658],0.9792404811814588
8 9,0.009990470000000001,0.0174096,"[[ 9.99999054e-01  1.22930531e-03  6.16997192e-04]
 [-1.22919827e-03  9.99999229e-01 -1.73832670e-04]
 [-6.17210410e-04  1.73074094e-04  9.99999795e-01]]","[[ 9.99998642e-01  1.64398160e-03 -1.14128866e-04]
 [-1.64402126e-03  9.99998588e-01 -3.48340711e-04]
 [ 1.13556039e-04  3.48527869e-04  9.99999933e-01]]",[0.00070473 0.00079037 0.00030164],[ 0.00149287 -0.00977639  0.00033626],0.9908125287926227
